Mw	Cnd
2	4.3618534892761903e-12
2.956599271241247	8.7146941395768767e-12
3.706038362841749	1.4453628586696039e-11
4.4308992107537222	2.3606177516588464e-11
5.1306129610698541	3.8540459522435013e-11
5.8045618091223039	6.3602646960189725e-11
6.4520712983396198	1.0677184099376378e-10
7.0724007803364657	1.8362904771554772e-10
7.664731424406126	3.2554260423868883e-10
8.2281508939065713	5.9933265217092286e-10
8.7616333814935672	1.1552785358762328e-09
9.2640130020306959	2.3556396546857389e-09
9.7339473649927211	5.1457142874433438e-09
10.169866047438784	1.2235464267567213e-08
10.569894704794686	3.2282054627965943e-08
10.931737407224475	9.6204839107648244e-08
11.252481405470034	3.2229734688444822e-07
11.528241187434595	1.0697611179978037e-06
11.753410825266968	2.2391607634490941e-06
11.918655908307201	2.6943918895595522e-06
12	2.7342007216266307e-06
12.081344091692799	2.6588857773879301e-06
12.246589174733032	2.1703072693309347e-06
12.471758812565405	1.0677764435379169e-06
12.747518594529966	3.4359554951089717e-07
13.068262592775525	1.0994601850496042e-07
13.430105295205314	3.9611187499135843e-08
13.830133952561216	1.6170633045083632e-08
14.266052635007279	7.3542485754376169e-09
14.735986997969304	3.6576886716077224e-09
15.238366618506433	1.9589687248648047e-09
15.771849106093429	1.1158821913495476e-09
16.335268575593872	6.6945892291039945e-10
16.927599219663534	4.1970383657805726e-10
17.547928701660382	2.732526308894656e-10
18.195438190877695	1.8382759184675376e-10
18.869387038930146	1.2727414394840813e-10
19.569100789246278	9.0350836158040657e-11
20.293961637158251	6.5586904670374374e-11
21.043400728758755	4.8570035718435618e-11
21.816891864208916	3.6607735222182478e-11
22.613946290734024	2.8030968681902848e-11
23.43410835296649	2.1777651862187118e-11
24.276951826310331	1.7140525382581584e-11
25.142076800599142	1.3657959883550432e-11
26.029107011646893	1.0995446158346654e-11
26.93768754073546	8.9441981897977534e-12
27.867482818923044	7.3404065214976206e-12
28.818174885850322	6.0741450234342512e-12
29.78946186255131	5.0649813321019721e-12
30.78105660540907	4.2558356133432424e-12
31.792685514381414	3.5977860508406997e-12
32.824087473356457	3.0610530498798374e-12
33.875012904275209	2.6196555425158669e-12
34.945222919695027	2.2536225082933e-12
36.034488560926995	1.9484004424054471e-12
37.142590110884925	1.6923718255737772e-12
38.269316472428891	1.4763574919812321e-12
39.414464604343699	1.2933609276336899e-12
40.577839008219932	1.1375153366345216e-12
41.759251260445197	1.0039751202656174e-12
42.958519584302188	8.8925906861557351e-13
44.175468457834299	7.9012661378843735e-13
45.409928253702184	7.0430189214310414e-13
46.661734907732473	6.2960961631139094e-13
47.930729613267857	5.6435598886581376e-13
49.216758538777306	5.0727737848208801e-13
50.519672566485518	4.5709409120062427e-13
51.839327050040183	4.1281748745768935e-13
53.175581589459902	3.7371658970442749e-13
54.528299821800758	3.390227828314273e-13
55.897349226149224	3.0819395350024392e-13
57.282600941697403	2.8076335598316915e-13
58.683929597786921	2.5623135577525153e-13
60.101213154921531	2.3427144311813564e-13
61.534332755849434	2.1456848993782231e-13
62.983172585904924	1.9685238711409246e-13
64.447619741877716	1.8088122500443139e-13
65.927564108747887	1.6646752835361829e-13
67.422898243686319	1.534443650505893e-13
68.933517266776136	1.4162101759341025e-13
70.459318757959181	1.309211856235078e-13
72.000202659756582	1.2116137234302198e-13
73.5560711853513	1.1228144303808104e-13
75.126828731656104	1.0418538802858275e-13
76.7123817970229	9.6786407671277698e-14
78.312638903277346	9.0031265041533188e-14
79.927510521789145	8.3821106638408438e-14
81.556909003311674	7.8128295291717634e-14
83.200748511346021	7.2911486344972205e-14
84.858944958803406	6.8098548333653041e-14
86.53141594775802	6.3666981878771702e-14
88.218080712097589	5.9594303380776864e-14
89.91886006289414	5.5821225012914142e-14
91.633676336329927	5.2338574898844889e-14
93.362453344026221	4.9123707275383004e-14
95.105116325633347	4.613654165817628e-14
96.861591903550291	4.3367377980921823e-14
98.631808039652057	4.0800840360447146e-14
100	3.8948724858554655e-14

