Mw	P
2	2.1029791183367047e-10
2.0980980980980979	2.2785703237212878e-10
2.1961961961961962	2.4575677310609755e-10
2.2942942942942941	2.6398935840221915e-10
2.3923923923923924	2.8254666846696417e-10
2.4904904904904903	3.014203678574777e-10
2.5885885885885886	3.2060200235182004e-10
2.6866866866866865	3.4010658573937127e-10
2.7847847847847849	3.5991093367035502e-10
2.8828828828828827	3.7999843636524815e-10
2.9809809809809811	4.0038371358823195e-10
3.079079079079079	4.2126446871687413e-10
3.1771771771771773	4.4257893278682238e-10
3.2752752752752752	4.6740034949903891e-10
3.3733733733733731	4.9601089856938721e-10
3.4714714714714714	5.2573762054202316e-10
3.5695695695695697	5.5619459179459873e-10
3.6676676676676676	5.8721412292686096e-10
3.7657657657657655	6.1862922104239988e-10
3.8638638638638643	6.5045616886949478e-10
3.9619619619619622	6.8258950678656949e-10
4.06006006006006	7.1501393574975904e-10
4.1581581581581579	7.5310151722774684e-10
4.2562562562562558	7.9599284108085312e-10
4.3543543543543546	8.3923100950756424e-10
4.4524524524524525	8.8286038750012543e-10
4.5505505505505504	9.2814562150069555e-10
4.6486486486486491	9.7383476406410404e-10
4.7467467467467461	1.0206004929190307e-09
4.8448448448448449	1.0682069717945714e-09
4.9429429429429428	1.1161394385299756e-09
5.0410410410410407	1.1783057154133325e-09
5.1391391391391394	1.24339334827224e-09
5.2372372372372364	1.3093095418228109e-09
5.3353353353353352	1.3756161257756928e-09
5.433433433433434	1.4423026061018896e-09
5.531531531531531	1.5094907238306873e-09
5.6296296296296298	1.5787549472280775e-09
5.7277277277277285	1.6483908137543844e-09
5.8258258258258255	1.7292501659267918e-09
5.9239239239239243	1.8287085497871008e-09
6.0220220220220222	1.9288904304645856e-09
6.1201201201201201	2.0296185699208921e-09
6.218218218218218	2.1308516749484886e-09
6.3163163163163158	2.2325958980113055e-09
6.4144144144144146	2.3351548890362728e-09
6.5125125125125125	2.4391609240902117e-09
6.6106106106106104	2.5542079855744567e-09
6.7087087087087083	2.7083523748201999e-09
6.8068068068068062	2.8630955511937734e-09
6.9049049049049049	3.0184013528045942e-09
7.0030030030030028	3.1748858032813166e-09
7.1011011011011007	3.3342400419415331e-09
7.1991991991991986	3.4966456638791011e-09
7.2972972972972974	3.6596970254728305e-09
7.3953953953953953	3.8423700848978015e-09
7.4934934934934931	4.0848295746192303e-09
7.591591591591591	4.3279901296938807e-09
7.6896896896896889	4.5778799903820628e-09
7.7877877877877877	4.8339087035648899e-09
7.8858858858858856	5.0905309693147923e-09
7.9839839839839835	5.348348488852352e-09
8.0820820820820813	5.6066786667776253e-09
8.1801801801801801	5.9450971287404797e-09
8.2782782782782789	6.3537004129046741e-09
8.3763763763763777	6.7714634181010713e-09
8.4744744744744729	7.1900067025234938e-09
8.5725725725725717	7.6092076840532322e-09
8.6706706706706704	8.0344717143580398e-09
8.7687687687687692	8.464360972948474e-09
8.866866866866868	8.9657248120382661e-09
8.9649649649649632	9.6813199794719003e-09
9.063063063063062	1.0397741244985359e-08
9.1611611611611607	1.1114909808543369e-08
9.2592592592592595	1.1836726404450539e-08
9.3573573573573583	1.2659643933006978e-08
9.4554554554554571	1.3488391384944728e-08
9.5535535535535523	1.4318400959024052e-08
9.6516516516516511	1.5612404385955904e-08
9.7497497497497498	1.6962076454487156e-08
9.8478478478478486	1.8567630520908295e-08
9.9459459459459474	2.017318236130154e-08
10.044044044044044	2.1778610526612474e-08
10.142142142142141	2.3383763860678393e-08
10.24024024024024	2.5810019887456096e-08
10.338338338338339	2.92953844518826e-08
10.436436436436436	3.2779429969560491e-08
10.534534534534535	3.6264707278835229e-08
10.632632632632632	4.2126816396545374e-08
10.73073073073073	4.9314292691123591e-08
10.828828828828829	5.6491082831084692e-08
10.926926926926926	6.4619351749081244e-08
11.025025025025025	8.817389337014301e-08
11.123123123123122	1.1243878015102685e-07
11.221221221221221	1.3665676833774527e-07
11.31931931931932	2.004937255916954e-07
11.417417417417417	2.8272401371175981e-07
11.515515515515515	3.6576282570490896e-07
11.613613613613612	5.1386062851527574e-07
11.711711711711711	6.7091686077123776e-07
11.80980980980981	7.8714944772214192e-07
11.907907907907907	8.7323227268536202e-07
12.006006006006006	8.9855395257324225e-07
12.104104104104103	8.6733657312050679e-07
12.202202202202201	7.9737174810833561e-07
12.3003003003003	6.9716303750936764e-07
12.398398398398397	5.7214621027080164e-07
12.496496496496496	4.6387123257140129e-07
12.594594594594595	4.0439640502000637e-07
12.692692692692692	3.5762930557311994e-07
12.790790790790791	3.4226180567095278e-07
12.888888888888888	3.5717360611731117e-07
12.986986986986986	3.7211746683100851e-07
13.085085085085085	3.8968926450184618e-07
13.183183183183182	4.3536321391753935e-07
13.281281281281281	5.170814569475538e-07
13.379379379379378	5.9878884409099407e-07
13.477477477477477	6.8228999700290389e-07
13.575575575575575	7.6770176137077566e-07
13.673673673673672	8.9976798808467203e-07
13.771771771771771	1.1320667363905516e-06
13.86986986986987	1.3645872743620518e-06
13.967967967967967	1.5975218238593279e-06
14.066066066066066	1.8302223219251015e-06
14.164164164164164	2.3879526800123062e-06
14.262262262262263	3.0879882212537997e-06
14.360360360360358	3.7876369257410183e-06
14.458458458458457	4.486518560568823e-06
14.556556556556556	5.9377497677077322e-06
14.654654654654655	8.2990116854327623e-06
14.752752752752754	1.0657535200818769e-05
14.850850850850849	1.3013314969743487e-05
14.948948948948948	1.9234704891916791e-05
15.047047047047046	2.7870343940535536e-05
15.145145145145145	3.6495063142859453e-05
15.243243243243244	4.9143719146712158e-05
15.341341341341339	7.6649695797043562e-05
15.439439439439438	0.00010411911955537382
15.537537537537537	0.00013498927536005948
15.635635635635635	0.000174277418950334
15.733733733733734	0.00021351016743148031
15.831831831831833	0.00023411498076051512
15.929929929929928	0.00025036864231269668
16.028028028028025	0.00025076940655626866
16.126126126126124	0.0002382973883826621
16.224224224224223	0.00021773066543137183
16.322322322322321	0.00018574397387756243
16.42042042042042	0.00014818417094386203
16.518518518518519	0.00011383701050439536
16.616616616616618	8.7547732121961397e-05
16.714714714714717	6.1298684915176815e-05
16.812812812812815	4.1369428404842921e-05
16.910910910910914	3.2715638219946104e-05
17.009009009009006	2.4075562109210004e-05
17.107107107107105	1.5449510982904549e-05
17.205205205205203	1.2702116809287399e-05
17.303303303303302	1.0225920936709287e-05
17.401401401401401	7.7538059515131659e-06
