Mw	Cnd
2	1.7392012430066932e-10
3.3683919925796211	3.4613328719856912e-10
4.4576914109610115	5.3393558850681308e-10
5.5246820807104342	7.8321558750400309e-10
6.5690485651263764	1.1190006388183664e-09
7.5904592402420548	1.5769030841726295e-09
8.5885648161515089	2.2101155530725136e-09
9.5629966593421507	3.0933995890079963e-09
10.513364879936079	4.3412358820530632e-09
11.439256139357262	6.1273769005596111e-09
12.340231123143017	8.7171089935357816e-09
13.215821609564806	1.2527457526519935e-08
14.065527046224112	1.8221680879352809e-08
14.888810522132788	2.6887906242806258e-08
15.685093989471842	4.0337133011530969e-08
16.453752543526075	6.1675316825914692e-08
17.194107505560858	9.6401715797577238e-08
17.905417962863304	1.5451766346197831e-07
18.586870288837286	2.5496144035913486e-07
19.237564971036818	4.3508781939493037e-07
19.856499777672461	7.7195477235953947e-07
20.442547825658664	1.4333057762517141e-06
20.994428351850864	2.8054516804866676e-06
21.510666696133207	5.8371289844991553e-06
21.989537697285936	1.3002867767075558e-05
22.428982326185285	3.1039069316629285e-05
22.826478428440094	7.7648603717577272e-05
23.178826253249337	0.00018574369472523189
23.481757437859365	0.00034061516827234338
23.72911368626087	0.00043328224179797607
23.910640841525279	0.00046170414244722861
24	0.00046381004462620393
24.089359158474721	0.00045830704365041935
24.27088631373913	0.00042439231948077251
24.518242562140635	0.00033150838092156415
24.821173746750663	0.00018520394026108004
25.173521571559906	8.0763556765743548e-05
25.571017673814715	3.3771924783299945e-05
26.010462302714064	1.48146751846166e-05
26.489333303866793	6.9671907329900814e-06
27.005571648149136	3.5142017456643907e-06
27.557452174341336	1.8875962946250722e-06
28.143500222327539	1.0710691818448757e-06
28.762435028963182	6.3747027138807628e-07
29.413129711162714	3.9540997513067339e-07
30.094582037136696	2.542851438391315e-07
30.805892494439142	1.6878122750877964e-07
31.546247456473925	1.1519470723511294e-07
32.314906010528162	8.0591414651005637e-08
33.111189477867214	5.763009435161375e-08
33.934472953775888	4.2038701607210177e-08
34.784178390435194	3.1215727385457069e-08
35.659768876856987	2.3553891421737015e-08
36.560743860642738	1.8037109979661482e-08
37.486635120063923	1.3996712434455084e-08
38.437003340657853	1.0994229541902668e-08
39.411435183848489	8.7334807050822446e-09
40.409540759757945	7.0094115368007954e-09
41.43095143487362	5.6797970955382507e-09
42.475317919289566	4.6427987347215863e-09
43.542308589038988	3.8265911799819807e-09
44.631608007420382	3.1778393694725737e-09
45.742915615794274	2.6577589445617881e-09
46.875944569528954	2.2376136112440298e-09
48.030420698923102	1.895325295445501e-09
49.206081578268822	1.6149146745211898e-09
50.40267568892056	1.3833361785426863e-09
51.619961664437113	1.1912213785062751e-09
52.857707607671585	1.030550077193673e-09
54.115690471175199	8.9556239753660123e-10
55.39369549351926	7.8160536269627054e-10
56.691515685172128	6.8493138838269349e-10
58.008951358434906	6.0253430571866375e-10
59.34580969666893	5.3197978798263765e-10
60.70190435866634	4.7121007471771634e-10
62.077055114539952	4.1865760975891437e-10
63.47108750995681	3.7334301726988613e-10
64.883832555923675	3.3366239675701494e-10
66.31512644166294	2.9924830407542138e-10
67.76481026840213	2.6886666940702878e-10
69.232729802146764	2.4241975420494395e-10
70.718735243720758	2.1895505480131709e-10
72.22268101454469	1.9819471612869749e-10
73.744425556785487	1.7992029929357605e-10
75.283831146654023	1.6361640067754774e-10
76.840763719752289	1.4905898417724103e-10
78.415092707482387	1.360702824949901e-10
80.006690883627243	1.2444708925971306e-10
81.615434220299278	1.1403038751874673e-10
83.241201752529662	1.0466323714482754e-10
84.883875450839042	9.6225115467463679e-11
86.543340101191305	8.8602294606222307e-11
88.219483191786097	8.1708912677700404e-11
89.912194806194023	7.5460368307224686e-11
91.621367522382315	6.9790814887950202e-11
93.346896317217258	6.4633749730139324e-11
95.088678476065013	5.9938333552879407e-11
96.846613507144255	5.5651748308354454e-11
98.620603060311794	5.17350155533649e-11
100	4.8938878947703658e-11

