Mw	P
2	1.8000122659978977e-14
2.0980980980980979	2.0383183035193785e-14
2.1961961961961962	2.2850038662428595e-14
2.2942942942942941	2.557365734798969e-14
2.3923923923923924	2.8508414394009117e-14
2.4904904904904903	3.1539485994596614e-14
2.5885885885885886	3.4809946762960433e-14
2.6866866866866865	3.8314798316227526e-14
2.7847847847847849	4.2110199092271765e-14
2.8828828828828827	4.6051499088329795e-14
2.9809809809809811	5.0535772659875403e-14
3.079079079079079	5.5305162297324023e-14
3.1771771771771773	6.0181417502314104e-14
3.2752752752752752	6.5225506836520781e-14
3.3733733733733731	7.0754971597727452e-14
3.4714714714714714	7.6491001362276192e-14
3.5695695695695697	8.2381937489536908e-14
3.6676676676676676	8.8669604499475661e-14
3.7657657657657655	9.55513761339804e-14
3.8638638638638643	1.02513992454808e-13
3.9619619619619622	1.0955566977525369e-13
4.06006006006006	1.1751995855291883e-13
4.1581581581581579	1.2606283096299876e-13
4.2562562562562558	1.3479378484460671e-13
4.3543543543543546	1.4386548079624601e-13
4.4524524524524525	1.5391020122114182e-13
4.5505505505505504	1.6409395416170004e-13
4.6486486486486491	1.7465490889440049e-13
4.7467467467467461	1.8584634786133707e-13
4.8448448448448449	1.9756658366178324e-13
4.9429429429429428	2.0938885037611557e-13
5.0410410410410407	2.2146147279094621e-13
5.1391391391391394	2.3498104327788088e-13
5.2372372372372364	2.4896514725270385e-13
5.3353353353353352	2.6305788273641072e-13
5.433433433433434	2.775599799410285e-13
5.531531531531531	2.9359149120483096e-13
5.6296296296296298	3.0991706447729359e-13
5.7277277277277285	3.2694440130259422e-13
5.8258258258258255	3.4530429342936836e-13
5.9239239239239243	3.6442454980738332e-13
6.0220220220220222	3.8367012346067256e-13
6.1201201201201201	4.0303741889303171e-13
6.218218218218218	4.2412524387427421e-13
6.3163163163163158	4.4595369643365315e-13
6.4144144144144146	4.6841493169661991e-13
6.5125125125125125	4.9161764357353248e-13
6.6106106106106104	5.164514393106497e-13
6.7087087087087083	5.4141358275187167e-13
6.8068068068068062	5.6657797136463667e-13
6.9049049049049049	5.9433161320043566e-13
7.0030030030030028	6.2351807951036572e-13
7.1011011011011007	6.5346110587147849e-13
7.1991991991991986	6.8358839765843264e-13
7.2972972972972974	7.1644477500578961e-13
7.3953953953953953	7.4989078138974091e-13
7.4934934934934931	7.8395484545258809e-13
7.591591591591591	8.1904557707875496e-13
7.6896896896896889	8.5673572801808479e-13
7.7877877877877877	8.9514790232695466e-13
7.8858858858858856	9.3370003976390667e-13
7.9839839839839835	9.7523775339787651e-13
8.0820820820820813	1.0186590776000879e-12
8.1801801801801801	1.0622209262268783e-12
8.2782782782782789	1.1064337222307286e-12
8.3763763763763777	1.1559570655442656e-12
8.4744744744744729	1.2063064899526581e-12
8.5725725725725717	1.2577204022722502e-12
8.6706706706706704	1.3110793766735812e-12
8.7687687687687692	1.3682783968771317e-12
8.866866866866868	1.4256259606953007e-12
8.9649649649649632	1.4831158030466718e-12
9.063063063063062	1.5456083392809414e-12
9.1611611611611607	1.6119584932988748e-12
9.2592592592592595	1.6784562630532687e-12
9.3573573573573583	1.7450948766070291e-12
9.4554554554554571	1.81889427006589e-12
9.5535535535535523	1.8929486037491395e-12
9.6516516516516511	1.9681729112218288e-12
9.7497497497497498	2.0492197278283142e-12
9.8478478478478486	2.1365425852158231e-12
9.9459459459459474	2.2240122189485514e-12
10.044044044044044	2.3116256050965629e-12
10.142142142142141	2.4068311407558104e-12
10.24024024024024	2.5069514540060781e-12
10.338338338338339	2.607931826648138e-12
10.436436436436436	2.7105243484140776e-12
10.534534534534535	2.8260599453052792e-12
10.632632632632632	2.9417190200401168e-12
10.73073073073073	3.0574924501949072e-12
10.828828828828829	3.1807554260549583e-12
10.926926926926926	3.3150185902307927e-12
11.025025025025025	3.4502651814279701e-12
11.123123123123122	3.5881941966225096e-12
11.221221221221221	3.7402816572942685e-12
11.31931931931932	3.8991573008911019e-12
11.417417417417417	4.0602179667692377e-12
11.515515515515515	4.2220951252137417e-12
11.613613613613612	4.4094265334602104e-12
11.711711711711711	4.597776773314735e-12
11.80980980980981	4.7873098001585618e-12
11.907907907907907	4.9899391249433066e-12
12.006006006006006	5.2150022582449514e-12
12.104104104104103	5.4400925572890335e-12
12.202202202202201	5.6651965218220797e-12
12.3003003003003	5.9216736246986856e-12
12.398398398398397	6.1929374265351052e-12
12.496496496496496	6.4688789299263577e-12
12.594594594594595	6.7489852618308064e-12
12.692692692692692	7.0849194384885646e-12
12.790790790790791	7.4207713220903086e-12
12.888888888888888	7.7565231764840504e-12
12.986986986986986	8.1239149969323845e-12
13.085085085085085	8.5468601166257639e-12
13.183183183183182	8.9705421497146618e-12
13.281281281281281	9.3940195937857909e-12
13.379379379379378	9.8967623820323459e-12
13.477477477477477	1.0428476024671703e-11
13.575575575575575	1.0960407738025583e-11
13.673673673673672	1.1507039091782475e-11
13.771771771771771	1.219340863711751e-11
13.86986986986987	1.2881760892932579e-11
13.967967967967967	1.3569570143483418e-11
14.066066066066066	1.4330942321518146e-11
14.164164164164164	1.5199415720367728e-11
14.262262262262263	1.6070645457612467e-11
14.360360360360358	1.6942174442038879e-11
14.458458458458457	1.7851187163582345e-11
14.556556556556556	1.8770969653863014e-11
14.654654654654655	1.9689780943623762e-11
14.752752752752754	2.0529683714022838e-11
14.850850850850849	2.0573519228811346e-11
14.948948948948948	2.0617343334582467e-11
15.047047047047046	2.0663533512715712e-11
15.145145145145145	1.9224852476171575e-11
15.243243243243244	1.585279684833789e-11
15.341341341341339	1.24932412460199e-11
15.439439439439438	9.1394559961123299e-12
15.537537537537537	7.8746467570293646e-12
15.635635635635635	7.2174652035996857e-12
15.733733733733734	6.5654925281907688e-12
15.831831831831833	5.9177825558618188e-12
15.929929929929928	5.2805441586921682e-12
