mass	division
2	6.2691206871458318e-05
2	6.2691206871458318e-05
2.2203389830508478	6.7897613159379977e-05
2.6610169491525433	8.0401800091886398e-05
3.101694915254237	9.5286532488448336e-05
3.5077242883048463	0.00011129308812823303
3.5423728813559325	0.00011174057425468526
3.9830508474576281	0.00012282813469256926
4.4237288135593218	0.00013673471501690266
4.6843889841900577	0.00014702069313033938
4.8644067796610173	0.00014968723973240482
5.3050847457627128	0.00016074606988061171
5.7457627118644066	0.00017468370695397618
5.8391942983328562	0.00017855583473050946
6.1864406779661021	0.00018360352025764855
6.6271186440677976	0.00019396673314749484
6.9718607916006015	0.00020469562905244283
7.0677966101694913	0.00020482858653254128
7.5084745762711869	0.00021063325990241456
7.9491525423728815	0.00022013668967185913
8.0820961063232346	0.00022424893449673946
8.3898305084745761	0.00022410425033044984
8.8305084745762716	0.00022884101160938798
9.1695939072452219	0.00023550183940433382
9.2711864406779654	0.00023438558870636007
9.7118644067796609	0.00023503238543123002
10.152542372881356	0.00024003358356328985
10.234032695098627	0.00024174118935955512
10.593220338983052	0.00023873754955494169
11.033898305084746	0.00024019367994721535
11.27507447223751	0.00024326343126024319
11.474576271186441	0.00023889908192668339
11.915254237288135	0.00023527447959919716
12.292363235544517	0.00023629071055014694
12.35593220338983	0.00023428118859160257
12.796610169491526	0.00022653079322571348
13.23728813559322	0.0002244445551362796
13.285523266519341	0.00022467900018254821
13.677966101694915	0.00021463044879571779
14.118644067796611	0.00020969473425157579
14.254157181757568	0.00020952153223805685
14.559322033898304	0.00020017845538485842
15	0.00019314793140712741
15.197843698482117	0.00019203810604293651
15.440677966101696	0.00018387195466386402
15.881355932203389	0.00017543929939875774
16.116135058783176	0.0001734472455250511
16.322033898305087	0.0001656882799937192
16.762711864406779	0.0001557040660193702
17.008554041899053	0.00015288585900306303
17.203389830508474	0.00014543352428103494
17.64406779661017	0.00013514249781248377
17.87459047501563	0.00013228224944747868
18.084745762711865	0.00012434122707065043
18.525423728813561	0.00011428310661090241
18.713697127931681	0.0001119205091072884
18.966101694915253	0.00010315157724973372
19.406779661016948	9.4247324207581945e-05
19.525284842981826	9.2904707199425584e-05
19.847457627118644	8.341261896600869e-05
20.288135593220339	7.6338201599306368e-05
20.308716705033785	7.6152835388776762e-05
20.728813559322035	6.5229222725478463e-05
21.063300991420832	6.0722519006545205e-05
21.16949152542373	5.7320509365555092e-05
21.610169491525426	4.8836470308511683e-05
21.78828254938599	4.7015750973937702e-05
22.050847457627118	4.0715098028516591e-05
22.482832114757468	3.5402842122449347e-05
22.491525423728813	3.516370209981715e-05
22.932203389830509	2.7811012768539435e-05
23.146032886822145	2.613785744428718e-05
23.372881355932201	2.2131968586592722e-05
23.776863371299022	1.8706722468345759e-05
23.813559322033896	1.8000932119802287e-05
24.254237288135592	1.3501536438213106e-05
24.374175026863263	1.298282432167985e-05
24.694915254237287	9.6729535786018283e-06
24.936662474618203	8.648001337193249e-06
25.135593220338983	6.7831749458493604e-06
25.462822712074168	5.4963023533333767e-06
25.576271186440678	4.5777127170990585e-06
25.950897421107197	3.2500494664937045e-06
26.016949152542374	2.8425829319135743e-06
26.39878799888259	1.6354709620141009e-06
26.457627118644069	1.4775508162966334e-06
26.80392381621704	4.6266720138793014e-07
26.898305084745765	3.1525726766762429e-07
27.163043624387136	1.0379936432745781e-07
27.338983050847457	0
27.471797024425271	0
27.723907360351753	0
27.908923394469493	0
28	0
28	0
28.091076605530507	0
28.276092639648247	0
28.528202975574729	0
28.836956375612864	0
29.19607618378296	0
29.60121200111741	0
30.049102578892803	0
30.537177287925832	0
31.063337525381797	0
31.625824973136737	0
32.223136628700978	0
32.853967113177859	0
33.517167885242529	0
34.21171745061401	0
34.936699008579168	0
35.691283294966212	0
36.474715157018174	0
37.286302872068319	0
38.12540952498437	0
38.991445958100947	0
39.883864941216828	0
40.802156301517883	0
41.74584281824243	0
42.714476733480659	0
43.707636764455486	0
44.724925527762494	0
45.765967304901373	0
46.830406092754778	0
47.917903893676765	0
49.028139208399395	0
50.160805701667144	0
51.315611015809942	0
52.492275711695157	0
53.690532319898431	0
54.910124487687085	0
56.150806209654078	0
57.412341131682695	0
58.69450191944199	0
59.997069683875026	0
61.319833457194719	0
62.662589713784961	0
64.025141931148909	0
65.407300186675712	0
66.808880786532285	0
68.229705923443618	0
69.669603360516078	0
71.128406138594798	0
72.605952304936892	0
74.102084661232581	0
75.616650529225922	0
77.149501532375794	0
78.700493392164532	0
80.269485737807273	0
81.856341928242188	0
83.460928885395532	0
85.083116937813514	0
86.72277967384251	0
88.379793803615669	0
90.054039029174533	0
91.745397922115643	0
93.453755808207077	0
95.17900065846996	0
96.921022986263281	0
98.679715749950944	0
100	0
100	0
