Mw	Cnd
2	3.7400578896465408e-14
2.1186440677966099	4.2890166057517902e-14
2.3559322033898304	5.5386026713260111e-14
2.593220338983051	7.0076907902196587e-14
2.8305084745762707	8.7185363038735785e-14
3.0677966101694913	1.0695280191594474e-13
3.3050847457627119	1.2964127591819223e-13
3.5423728813559316	1.555354719147288e-13
3.7796610169491522	1.8494494471854385e-13
4.0169491525423728	2.1820662364084449e-13
4.2542372881355934	2.5568763629725167e-13
4.4915254237288131	2.9778850440189654e-13
4.7288135593220337	3.4494678825160509e-13
4.9661016949152543	3.9764131863918078e-13
5.203389830508474	4.5639756633447152e-13
5.4406779661016946	5.2175270009157564e-13
5.6779661016949152	5.9434548675046461e-13
5.9152542372881349	6.7487837587259135e-13
6.1525423728813564	7.6414474824128056e-13
6.3898305084745761	8.6298042496051088e-13
6.6271186440677967	9.7234686002906792e-13
6.8644067796610173	1.0932594352540582e-12
7.101694915254237	1.2268810163269573e-12
7.3389830508474576	1.3744636033522767e-12
7.5762711864406782	1.5370777015505749e-12
7.8135593220338979	1.7165704708859989e-12
8.0508474576271194	1.9147912525347129e-12
8.2881355932203391	2.1340515435155335e-12
8.5254237288135588	2.3767581012414824e-12
8.7627118644067803	2.6453130226512981e-12
9	2.9416232851106816e-12
9.2372881355932197	3.2698039443718129e-12
9.4745762711864412	3.6339405958844918e-12
9.7118644067796609	4.0392250919405506e-12
9.9491525423728806	4.4898683043220263e-12
10.186440677966102	4.9916648524550496e-12
10.423728813559322	5.5525935436942801e-12
10.661016949152543	6.1793972314198951e-12
10.898305084745763	6.8852892231416673e-12
11.135593220338983	7.6791382495012421e-12
11.372881355932204	8.5754726991686689e-12
11.610169491525424	9.5946740403048207e-12
11.847457627118644	1.0752069349777841e-11
12.084745762711865	1.2079152627402063e-11
12.322033898305085	1.3600316949592792e-11
12.559322033898304	1.537031838396777e-11
12.796610169491526	1.7440473771954637e-11
13.033898305084746	1.9849820324776487e-11
13.271186440677965	2.2711429056377641e-11
13.508474576271187	2.612828345237207e-11
13.745762711864407	3.0224481167170767e-11
13.983050847457626	3.5018071217068455e-11
14.220338983050848	4.0787642902248279e-11
14.457627118644069	4.719474754704289e-11
14.694915254237287	5.3471810685529754e-11
14.932203389830509	5.6476317864905375e-11
15.16949152542373	4.5974345674961245e-11
15.406779661016948	8.3690421194879136e-12
15.64406779661017	0
16	0
100 0
