cos(theta)\k'	0	2.5641e-05	5.12821e-05	7.69231e-05	0.000102564	0.000128205	0.000153846	0.000179487	0.000205128	0.000230769	0.00025641	0.000282051	0.000307692	0.000333333	0.000358974	0.000384615	0.000410256	0.000435897	0.000461538	0.000487179	0.000512821	0.000538462	0.000564103	0.000589744	0.000615385	0.000641026	0.000666667	0.000692308	0.000717949	0.00074359	0.000769231	0.000794872	0.000820513	0.000846154	0.000871795	0.000897436	0.000923077	0.000948718	0.000974359	0.001
-1	0	3.07433e-09	1.29454e-08	3.06664e-08	5.74107e-08	9.44901e-08	1.43375e-07	2.0572e-07	2.83392e-07	3.7851e-07	4.93481e-07	6.31059e-07	7.94404e-07	9.87164e-07	1.21357e-06	1.47856e-06	1.78792e-06	2.14851e-06	2.56847e-06	3.0576e-06	3.62772e-06	4.29333e-06	5.07228e-06	5.98695e-06	7.06563e-06	8.34472e-06	9.87183e-06	1.17104e-05	1.3947e-05	1.67028e-05	2.01527e-05	2.45594e-05	3.03353e-05	3.81679e-05	4.92948e-05	6.61911e-05	9.4632e-05	0.000151943	0.000324754	nan
-0.948718	0	3.06667e-09	1.28839e-08	3.0458e-08	5.69144e-08	9.35147e-08	1.41677e-07	2.02999e-07	2.79289e-07	3.72598e-07	4.85263e-07	6.19956e-07	7.79748e-07	9.68186e-07	1.18938e-06	1.44814e-06	1.7501e-06	2.10193e-06	2.51157e-06	2.98853e-06	3.54437e-06	4.19317e-06	4.95235e-06	5.84368e-06	6.89475e-06	8.14102e-06	9.62886e-06	1.14201e-05	1.35991e-05	1.62838e-05	1.96448e-05	2.3938e-05	2.95651e-05	3.71961e-05	4.80368e-05	6.4499e-05	9.22096e-05	0.00014805	0.000316429	nan
-0.897436	0	3.05901e-09	1.28224e-08	3.02496e-08	5.6418e-08	9.25392e-08	1.39978e-07	2.00278e-07	2.75186e-07	3.66686e-07	4.77044e-07	6.08853e-07	7.65092e-07	9.49207e-07	1.1652e-06	1.41773e-06	1.71228e-06	2.05535e-06	2.45466e-06	2.91947e-06	3.46101e-06	4.093e-06	4.8324e-06	5.70041e-06	6.72387e-06	7.93731e-06	9.38588e-06	1.11298e-05	1.32511e-05	1.58648e-05	1.91369e-05	2.33165e-05	2.87949e-05	3.62243e-05	4.67789e-05	6.28068e-05	8.97872e-05	0.000144157	0.000308104	nan
-0.846154	0	3.05135e-09	1.27609e-08	3.00412e-08	5.59216e-08	9.15637e-08	1.3828e-07	1.97557e-07	2.71082e-07	3.60774e-07	4.68826e-07	5.97749e-07	7.50436e-07	9.30228e-07	1.14101e-06	1.38731e-06	1.67446e-06	2.00877e-06	2.39775e-06	2.8504e-06	3.37765e-06	3.99284e-06	4.71246e-06	5.55714e-06	6.55299e-06	7.73361e-06	9.14291e-06	1.08395e-05	1.29032e-05	1.54459e-05	1.8629e-05	2.2695e-05	2.80247e-05	3.52525e-05	4.55209e-05	6.11147e-05	8.73648e-05	0.000140264	0.000299778	nan
-0.794872	0	3.04369e-09	1.26994e-08	2.98328e-08	5.54252e-08	9.05882e-08	1.36582e-07	1.94836e-07	2.66978e-07	3.54862e-07	4.60607e-07	5.86646e-07	7.35779e-07	9.11248e-07	1.11682e-06	1.35689e-06	1.63664e-06	1.9622e-06	2.34084e-06	2.78133e-06	3.29429e-06	3.89267e-06	4.59252e-06	5.41387e-06	6.38211e-06	7.5299e-06	8.89994e-06	1.05492e-05	1.25552e-05	1.50269e-05	1.81211e-05	2.20736e-05	2.72544e-05	3.42807e-05	4.4263e-05	5.94225e-05	8.49423e-05	0.000136371	0.000291453	nan
-0.74359	0	3.03602e-09	1.26379e-08	2.96244e-08	5.49288e-08	8.96126e-08	1.34883e-07	1.92115e-07	2.62875e-07	3.4895e-07	4.52388e-07	5.75542e-07	7.21123e-07	8.92268e-07	1.09263e-06	1.32648e-06	1.59882e-06	1.91562e-06	2.28393e-06	2.71227e-06	3.21093e-06	3.79251e-06	4.47258e-06	5.2706e-06	6.21123e-06	7.32619e-06	8.65696e-06	1.02588e-05	1.22073e-05	1.46079e-05	1.76132e-05	2.14521e-05	2.64842e-05	3.33089e-05	4.3005e-05	5.77304e-05	8.25198e-05	0.000132478	0.000283128	nan
-0.692308	0	3.02836e-09	1.25763e-08	2.9416e-08	5.44324e-08	8.8637e-08	1.33185e-07	1.89394e-07	2.58771e-07	3.43037e-07	4.44169e-07	5.64438e-07	7.06466e-07	8.73288e-07	1.06844e-06	1.29606e-06	1.561e-06	1.86903e-06	2.22702e-06	2.6432e-06	3.12757e-06	3.69234e-06	4.35263e-06	5.12732e-06	6.04035e-06	7.12248e-06	8.41398e-06	9.96853e-06	1.18593e-05	1.41889e-05	1.71053e-05	2.08307e-05	2.5714e-05	3.23371e-05	4.1747e-05	5.60382e-05	8.00974e-05	0.000128585	0.000274803	nan
-0.641026	0	3.02069e-09	1.25148e-08	2.92076e-08	5.39359e-08	8.76614e-08	1.31486e-07	1.86673e-07	2.54667e-07	3.37125e-07	4.3595e-07	5.53334e-07	6.91808e-07	8.54308e-07	1.04425e-06	1.26564e-06	1.52318e-06	1.82245e-06	2.17011e-06	2.57413e-06	3.0442e-06	3.59218e-06	4.23269e-06	4.98405e-06	5.86946e-06	6.91877e-06	8.171e-06	9.67821e-06	1.15114e-05	1.37699e-05	1.65974e-05	2.02092e-05	2.49438e-05	3.13653e-05	4.04891e-05	5.4346e-05	7.76749e-05	0.000124692	0.000266477	nan
-0.589744	0	3.01302e-09	1.24533e-08	2.89991e-08	5.34394e-08	8.66857e-08	1.29788e-07	1.83952e-07	2.50563e-07	3.31212e-07	4.27731e-07	5.4223e-07	6.77151e-07	8.35328e-07	1.02006e-06	1.23522e-06	1.48536e-06	1.77587e-06	2.11319e-06	2.50506e-06	2.96084e-06	3.49201e-06	4.11274e-06	4.84077e-06	5.69858e-06	6.71506e-06	7.92802e-06	9.38789e-06	1.11634e-05	1.33509e-05	1.60895e-05	1.95877e-05	2.41736e-05	3.03934e-05	3.92311e-05	5.26539e-05	7.52524e-05	0.000120799	0.000258152	nan
