Mw	Div
2	5.6515877525153413e-07
2	5.6515877525153413e-07
2.7307692307692335	7.7816628173536584e-07
2.9639122168998071	8.8728246954151388e-07
4.1923076923076934	1.2162018709714601e-06
4.6149937720645653	1.3955311678671672e-06
5.6538461538461569	1.671700547001441e-06
6.2474884730339113	1.91077999456524e-06
7.1153846153846168	2.1411663018560619e-06
7.8612541484263545	2.4331838865166101e-06
8.5769230769230766	2.6224099589951019e-06
9.4561447461829786	2.960254450852681e-06
10.03846153846154	3.1131152230705152e-06
11.032010148353123	3.4895500104246542e-06
11.5	3.6109157381465436e-06
12.588695973101977	4.0181384998055077e-06
12.961538461538463	4.1131675213273893e-06
14.126043362775142	4.5431324448637721e-06
14.423076923076923	4.6171320023400635e-06
15.643888756722752	5.0616573745318917e-06
15.884615384615385	5.1199043135510845e-06
17.142063647434014	5.5706706477024688e-06
17.346153846153847	5.6183929688376006e-06
18.62039431836002	6.0657415206021312e-06
18.807692307692307	6.1075511492761246e-06
20.078701561605364	6.5460269810474313e-06
20.26923076923077	6.5865518313692903e-06
21.51680037344132	7.0081798661835433e-06
21.730769230769234	7.051435579778776e-06
22.934499625332499	7.4500217863579026e-06
23.192307692307693	7.4992566470856116e-06
24.33160170786627	7.8692057616290694e-06
24.653846153846153	7.9263514629405703e-06
25.707902144624626	8.260274905657236e-06
26.115384615384617	8.3279765375116279e-06
27.0631891726307	8.6197820779293427e-06
27.576923076923077	8.6978776430395654e-06
28.397243285527139	8.9444225562589121e-06
29.03846153846154	9.0331329809382065e-06
29.70983673508654	9.2366620784842808e-06
30.5	9.3421566872975476e-06
31.000732985999061	9.4938194697510479e-06
31.96153846153846	9.6157826487474448e-06
32.269686118108254	9.7089716864655349e-06
33.42307692307692	9.8472417888544452e-06
33.516440169347433	9.8751637191252856e-06
34.740728411533482	1.0012097736884517e-05
34.884615384615387	1.0000676810241426e-05
35.942272549862011	1.0140287921085768e-05
36.346153846153847	1.0111570915398006e-05
37.120781835366309	1.0219506687207734e-05
37.807692307692307	1.0170952773959007e-05
38.275952077685922	1.0238846878261307e-05
39.269230769230766	1.016774254094746e-05
39.407464543155406	1.0194284772028537e-05
40.51498472035874	1.0152923439190654e-05
40.730769230769226	1.0094173861999305e-05
41.598160931757491	1.0077704977052091e-05
42.192307692307693	9.923883818321036e-06
42.656622765600304	9.9387852548289807e-06
43.653846153846153	9.721031488108242e-06
43.689979296805546	9.7246750055740953e-06
44.697817058536515	9.5519705042141722e-06
45.115384615384613	9.369719232721953e-06
45.679697717296492	9.3196801223936115e-06
46.57692307692308	8.9931051174631993e-06
46.63515539291906	8.9938528372534055e-06
47.563693549926015	8.7175720096755958e-06
48.038461538461533	8.4410541439067443e-06
48.464781367107193	8.3701379446583573e-06
49.337849466029269	7.9556331929470301e-06
49.5	7.8254393413986721e-06
50.182284843850333	7.5594139782417759e-06
50.96153846153846	7.0422105612443874e-06
50.997424807357575	7.0328881856721298e-06
51.78254963755996	6.5586238235123142e-06
52.42307692307692	6.0274546459615196e-06
52.536873618148782	5.9560316568915317e-06
53.259533921864296	5.3091514139026734e-06
53.884615384615387	4.6927427950069951e-06
53.949576642009532	4.5980163540666171e-06
54.60593894102162	3.6141312124753727e-06
55.227425792276073	2.8454178082191305e-06
55.34615384615384	2.7050396783452486e-06
55.812678983836769	1.7102520367151754e-06
56.360134681688351	8.5156065701782542e-07
56.807692307692307	3.4559225045516445e-07
56.867963402705584	3.3013773611463914e-07
57.333981606594847	2.295210537603277e-07
57.755514622232624	1.5899831715126523e-07
58.129169207278196	1.0632548332545798e-07
58.45041888760219	6.5441536182503236e-08
58.712732970014734	3.3806954307523793e-08
58.905237220357556	1.1108924342678122e-08
59	0
59	0
59.094762779642444	0
59.287267029985266	0
59.54958111239781	0
59.870830792721804	0
60.244485377767376	0
60.666018393405153	0
61.132036597294416	0
61.639865318311649	0
62.187321016163231	0
62.772574207723927	0
63.39406105897838	0
64.050423357990468	0
64.740466078135697	0
65.463126381851211	0
66.217450362440033	0
67.002575192642425	0
67.817715156149674	0
68.662150533970731	0
69.535218632892807	0
70.436306450073985	0
71.36484460708094	0
72.320302282703508	0
73.302182941463485	0
74.310020703194454	0
75.343377234399696	0
76.401839068242509	0
77.48501527964126	0
78.592535456844587	0
79.724047922314071	0
80.879218164633699	0
82.057727450137989	0
83.259271588466518	0
84.483559830652567	0
85.730313881891746	0
86.999267014000935	0
88.29016326491346	0
89.602756714472861	0
90.9368108273693	0
92.292097855375374	0
93.66839829213373	0
95.065500374667494	0
96.483199626558672	0
97.921298438394643	0
100	0
100	0

