Mw	Div
2	3.017079412482515e-07
2	3.017079412482515e-07
2.2820512820512828	3.4208064614403463e-07
2.8461538461538467	4.3271885258998628e-07
3.3683919925796211	5.2997863896476779e-07
3.4102564102564106	5.3434728507159823e-07
3.9743589743589745	6.2609658409353755e-07
4.4576914109610115	7.1904433955105976e-07
4.5384615384615383	7.2822127581836762e-07
5.1025641025641022	8.2268379751924948e-07
5.5246820807104342	9.0794598097053507e-07
5.666666666666667	9.249414924105434e-07
6.2307692307692308	1.0212777087028102e-06
6.5690485651263764	1.0927830686834168e-06
6.7948717948717947	1.1208051944264613e-06
7.3589743589743595	1.2184621093261419e-06
7.5904592402420548	1.2696410214152409e-06
7.9230769230769234	1.3119580467866589e-06
8.4871794871794872	1.4101598305928964e-06
8.5885648161515089	1.4335687545733592e-06
9.0512820512820511	1.4940569146971611e-06
9.5629966593421507	1.5853092404697989e-06
9.615384615384615	1.588939944368687e-06
10.179487179487179	1.6645869536052545e-06
10.513364879936079	1.7275160612912393e-06
10.743589743589745	1.743860679524228e-06
11.307692307692308	1.8202140151787037e-06
11.439256139357262	1.8467599453744977e-06
11.871794871794872	1.8795020593243242e-06
12.340231123143017	1.9453246332755853e-06
12.435897435897436	1.9454717105719445e-06
13	1.9919998576746964e-06
13.215821609564806	2.0266173016607422e-06
13.564102564102564	2.0308837139468715e-06
14.065527046224112	2.0799292233849523e-06
14.128205128205128	2.0756880232314989e-06
14.692307692307692	2.0915082590153671e-06
14.888810522132788	2.1157473647405429e-06
15.256410256410255	2.0973559082345783e-06
15.685093989471842	2.1237346801881524e-06
15.820512820512821	2.1057743350566237e-06
16.384615384615383	2.0982765178779557e-06
16.453752543526075	2.1059709723147511e-06
16.948717948717949	2.0613537116212137e-06
17.194107505560858	2.0725003377894765e-06
17.512820512820511	2.0161400426676604e-06
17.905417962863304	2.0094417269134934e-06
18.076923076923077	1.9639511075448844e-06
18.586870288837286	1.9206191728614545e-06
18.641025641025642	1.9009718772129401e-06
19.205128205128204	1.8146553026321574e-06
19.237564971036818	1.8161115819880257e-06
19.76923076923077	1.695729349119871e-06
19.856499777672461	1.6961345004810162e-06
20.333333333333332	1.5591142412552173e-06
20.442547825658664	1.555814987654924e-06
20.897435897435898	1.4020335019496442e-06
20.994428351850864	1.3932188410345131e-06
21.46153846153846	1.2098476204850587e-06
21.510666696133207	1.1994563320837513e-06
21.989537697285936	9.7563316820754177e-07
22.025641025641026	9.48624848686496e-07
22.428982326185285	6.8151410182838474e-07
22.589743589743591	5.7570768375534033e-07
22.826478428440094	3.2757464923081853e-07
23.153846153846153	1.0305500637466995e-07
23.178826253249337	9.7962204210590641e-08
23.481757437859365	5.0248558043918341e-08
23.72911368626087	2.4036443875456087e-08
23.910640841525279	7.7127293914566031e-09
24	0
24	0
24.089359158474721	0
24.27088631373913	0
24.518242562140635	0
24.821173746750663	0
25.173521571559906	0
25.571017673814715	0
26.010462302714064	0
26.489333303866793	0
27.005571648149136	0
27.557452174341336	0
28.143500222327539	0
28.762435028963182	0
29.413129711162714	0
30.094582037136696	0
30.805892494439142	0
31.546247456473925	0
32.314906010528162	0
33.111189477867214	0
33.934472953775888	0
34.784178390435194	0
35.659768876856987	0
36.560743860642738	0
37.486635120063923	0
38.437003340657853	0
39.411435183848489	0
40.409540759757945	0
41.43095143487362	0
42.475317919289566	0
43.542308589038988	0
44.631608007420382	0
45.742915615794274	0
46.875944569528954	0
48.030420698923102	0
49.206081578268822	0
50.40267568892056	0
51.619961664437113	0
52.857707607671585	0
54.115690471175199	0
55.39369549351926	0
56.691515685172128	0
58.008951358434906	0
59.34580969666893	0
60.70190435866634	0
62.077055114539952	0
63.47108750995681	0
64.883832555923675	0
66.31512644166294	0
67.76481026840213	0
69.232729802146764	0
70.718735243720758	0
72.22268101454469	0
73.744425556785487	0
75.283831146654023	0
76.840763719752289	0
78.415092707482387	0
80.006690883627243	0
81.615434220299278	0
83.241201752529662	0
84.883875450839042	0
86.543340101191305	0
88.219483191786097	0
89.912194806194023	0
91.621367522382315	0
93.346896317217258	0
95.088678476065013	0
96.846613507144255	0
98.620603060311794	0
100	0
100	0

