mass	division
2	1.9158002480053474e-07
2	1.9158002480053474e-07
2.1186440677966099	2.0239188823727335e-07
2.3559322033898304	2.2578352980411418e-07
2.593220338983051	2.5144629850043904e-07
2.6666847937781615	2.6077910129449218e-07
2.8305084745762707	2.7524319414208026e-07
3.0677966101694913	2.996588219755291e-07
3.3050847457627119	3.2649235580162184e-07
3.5423728813559316	3.5572868770818871e-07
3.5755224571225277	3.6049988925095575e-07
3.7796610169491522	3.7778996652327719e-07
4.0169491525423728	4.0123896488676669e-07
4.2542372881355934	4.2748564308750263e-07
4.4557332078320719	4.5238983509899986e-07
4.4915254237288131	4.5468118396845554e-07
4.7288135593220337	4.7512658413909503e-07
4.9661016949152543	4.988716352204845e-07
5.203389830508474	5.2571123599806082e-07
5.3070822890461606	5.393146402305895e-07
5.4406779661016946	5.4929825253359295e-07
5.6779661016949152	5.715937447467555e-07
5.9152542372881349	5.973670759353701e-07
6.1293228940604152	6.23839616185365e-07
6.1525423728813564	6.2504455638743351e-07
6.3898305084745761	6.4329273747895294e-07
6.6271186440677967	6.6577869782668685e-07
6.8644067796610173	6.9218776365920783e-07
6.922194981174604	6.9995211975809367e-07
7.101694915254237	7.1010347062101668e-07
7.3389830508474576	7.2895489478624212e-07
7.5762711864406782	7.522515154438176e-07
7.6854239109665787	7.6547077710469581e-07
7.8135593220338979	7.6878042756364674e-07
8.0508474576271194	7.8172052665624533e-07
8.2881355932203391	8.0044954115915953e-07
8.4187188693354607	8.141462625888362e-07
8.5254237288135588	8.1394241067236517e-07
8.7627118644067803	8.2157822110497341e-07
9	8.3579952658276024e-07
9.1217710297980457	8.4664886766981533e-07
9.2372881355932197	8.4423567817658714e-07
9.4745762711864412	8.4837891158169315e-07
9.7118644067796609	8.6056440744607965e-07
9.7942513953267465	8.6756811299809049e-07
9.9491525423728806	8.6028160849294303e-07
10.186440677966102	8.5979456610419214e-07
10.423728813559322	8.6864754060780311e-07
10.435808242097277	8.6957712604484165e-07
10.661016949152543	8.5707713239644114e-07
10.898305084745763	8.5639384920398204e-07
11.046064062783293	8.624362496386912e-07
11.135593220338983	8.5201450530957249e-07
11.372881355932204	8.38918672552201e-07
11.610169491525424	8.3934165593806503e-07
11.624611872287584	8.400956244570627e-07
11.847457627118644	8.160586315012242e-07
12.084745762711865	8.0771513144929905e-07
12.171010688989005	8.0967599629341975e-07
12.322033898305085	7.812382747246682e-07
12.559322033898304	7.5909985724350511e-07
12.684779931547451	7.5702755984229256e-07
12.796610169491526	7.3213845502872871e-07
13.033898305084746	7.0345369132018244e-07
13.165392361425077	6.9927691278622373e-07
13.271186440677965	6.7483699213773499e-07
13.508474576271187	6.4697753979322873e-07
13.612265031007407	6.4437045214621852e-07
13.745762711864407	6.0407596793959282e-07
13.983050847457626	5.6524083765917704e-07
14.024747424159017	5.6258745074418411e-07
14.220338983050848	5.0419795313647063e-07
14.402105520202269	4.7326237895586423e-07
14.457627118644069	4.4999909720863542e-07
14.694915254237287	3.8072275832805436e-07
14.743499713805798	3.6611745593676648e-07
14.932203389830509	2.8345634663101938e-07
15.047953040228849	2.2246538137488647e-07
15.16949152542373	1.6545898217203518e-07
15.314303192237329	6.8959835933626555e-08
15.406779661016948	2.3233060033055722e-08
15.541125309899376	9.1114312125582492e-09
15.64406779661017	0
15.726596305857738	0
15.86822284958291	0
15.962156951022424	0
16	0
16	0
16.037843048977578	0
16.13177715041709	0
16.273403694142264	0
16.458874690100625	0
16.685696807762671	0
16.952046959771149	0
17.256500286194203	0
17.597894479797731	0
17.975252575840983	0
18.387734968992593	0
18.834607638574923	0
19.31522006845255	0
19.828989311010993	0
20.375388127712416	0
20.953935937216706	0
21.564191757902723	0
22.205748604673254	0
22.878228970201953	0
23.581281130664539	0
24.314576089033423	0
25.077805018825394	0
25.870677105939585	0
26.692917710953839	0
27.544266792167928	0
28.424477542877472	0
29.33331520622184	0
30.270556038413588	0
31.235986396876868	0
32.229401934253936	0
33.250606882707672	0
34.299413415688647	0
35.375641076519472	0
36.479116264904022	0
37.609671773889744	0
38.767146370969051	0
39.95138441795612	0
41.162235525059906	0
42.399554235225168	0
43.663199735357765	0
44.953035591506122	0
46.268929505456271	0
47.610753090523325	0
48.978381664599986	0
50.371694058759445	0
51.790572439913248	0
53.234902146199865	0
54.704571533930526	0
56.199471835050119	0
57.719497024184932	0
59.264543694448108	0
60.834510941261016	0
62.429300253524801	0
64.048815411543472	0
65.692962391159426	0
67.361649273613992	0
69.05478616069297	0
70.772285094757194	0
72.51405998329588	0
74.28002652767286	0
76.07010215576463	0
77.88420595821654	0
79.722258628065617	0
81.584182403500833	0
83.469901013550185	0
85.379339626500993	0
87.312424800876059	0
89.269084438801585	0
91.249247741616301	0
93.252845167582436	0
95.279808391569659	0
97.330070266593069	0
100	0
