mass	division
2	4.7901227591918082e-07
2	4.7901227591918082e-07
2.6923076923076934	6.3858006712554036e-07
4.0769230769230766	9.9599797299680841e-07
4.4148852759553421	1.1214355632977309e-06
5.4615384615384635	1.3655692784824696e-06
6.221237990406479	1.6170831891912e-06
6.8461538461538467	1.7419461131419018e-06
7.99891790853804	2.0801447370541019e-06
8.2307692307692299	2.1239015912772869e-06
9.6153846153846168	2.5162424729585707e-06
9.7478089328582342	2.566915281424168e-06
11	2.9179567390432636e-06
11.467792086801708	3.0902758079272015e-06
12.384615384615387	3.3109891067508526e-06
13.158745381058161	3.5667773219784282e-06
13.76923076923077	3.7093900803181464e-06
14.820543670678255	4.0493931355756054e-06
15.153846153846153	4.1190925570611211e-06
16.453058502103048	4.5101127287760548e-06
16.53846153846154	4.5257489277832038e-06
17.923076923076923	4.914006812432958e-06
18.056157949163222	4.964820422154958e-06
19.307692307692307	5.2791371033692721e-06
19.629706436980001	5.3929099888112736e-06
20.692307692307693	5.6466015383523476e-06
21.173564552568635	5.8118546829404479e-06
22.076923076923077	6.0145136448012971e-06
22.687588840794348	6.2176678136764259e-06
23.46153846153846	6.3597223017075552e-06
24.171631584157169	6.5690127649022919e-06
24.846153846153847	6.663651086829236e-06
25.625540564680314	6.8668516774104063e-06
26.23076923076923	6.9667813812143341e-06
27.049158805943254	7.2034484094119181e-06
27.615384615384617	7.2538877000008064e-06
28.442324293027927	7.438876854776615e-06
29	7.4926840624711293e-06
29.804869667827294	7.6749365212329017e-06
30.384615384615383	7.7064646139591158e-06
31.136621896790579	7.8631163306716149e-06
31.76923076923077	7.8835170360739472e-06
32.437401907736515	8.0096238181447208e-06
33.153846153846153	8.0098921366386091e-06
33.707024191841064	8.099969112194412e-06
34.53846153846154	8.0837709284885754e-06
34.945296366280147	8.1532912189935947e-06
35.92307692307692	8.1303615448932635e-06
36.152018692258736	8.166404435224022e-06
37.307692307692307	8.1738586268659754e-06
37.326983542254858	8.1780427199571345e-06
38.46997480921398	8.1330575144751786e-06
38.692307692307693	8.083513117663856e-06
39.580767249096965	8.0843764403066007e-06
40.07692307692308	7.9556806913917217e-06
40.659125746550238	7.9498302937471061e-06
41.46153846153846	7.7778909808406222e-06
41.70480449144776	7.7900449427220682e-06
42.717546051541426	7.611783871510191e-06
42.846153846153847	7.5500437764835297e-06
43.697080323303098	7.3996960855296122e-06
44.230769230769226	7.1989944114837221e-06
44.643123339050447	7.1704069346338305e-06
45.555375903349919	6.8233768205222567e-06
45.615384615384613	6.7848421879124032e-06
46.4335220251089	6.5536568241749857e-06
47	6.2381252081824361e-06
47.277227103181026	6.1838397277175002e-06
48.086135811964859	5.8339703569962107e-06
48.384615384615387	5.6119857339714659e-06
48.859869618293509	5.4169640128499987e-06
49.598023840294786	4.9457136500874486e-06
49.769230769230774	4.7962478655706455e-06
50.300164130446433	4.4221022805904245e-06
50.965822225071875	3.8781880881595069e-06
51.153846153846153	3.6871296815713024e-06
51.594490745211473	3.0689421781219857e-06
52.185616749770439	2.367613216831108e-06
52.538461538461533	2.0093391297239175e-06
52.738593615415759	1.6055044876058551e-06
53.252750621781807	7.7715739150399547e-07
53.72733930638352	2.2174319613283515e-07
53.92307692307692	2.4493774148851566e-08
54.161515129154097	2.0845839955011101e-08
54.554312067794356	1.5513423453559558e-08
54.904606058783266	1.1375793312849383e-08
55.211059789618531	8.0320953118478545e-09
55.472033863293092	5.3141296106643512e-09
55.685430695412656	3.1365899149030474e-09
55.848381541817659	1.5091745076583482e-09
55.956459031624689	4.352406868321109e-10
56	0
56	0
56.043540968375311	0
56.151618458182341	0
56.314569304587344	0
56.527966136706908	0
56.788940210381469	0
57.095393941216734	0
57.445687932205644	0
57.838484870845903	0
58.27266069361648	0
58.747249378218193	0
59.261406384584241	0
59.814383250229561	0
60.405509254788527	0
61.034177774928125	0
61.699835869553567	0
62.401976159705214	0
63.140130381706491	0
63.913864188035141	0
64.722772896818981	0
65.5664779748911	0
66.444624096650074	0
67.356876660949553	0
68.302919676696902	0
69.282453948458581	0
70.29519550855224	0
71.340874253449755	0
72.419232750903035	0
73.53002519078602	0
74.673016457745149	0
75.847981307741264	0
77.054703633719853	0
78.292975808158928	0
79.562598092263485	0
80.863378103209413	0
82.19513033217271	0
83.557675706972077	0
84.95084119405675	0
86.374459435319693	0
87.828368415842831	0
89.312411159205652	0
90.826435447431365	0
92.370293563019999	0
93.943842050836778	0
95.546941497896952	0
97.179456329321738	0
98.841254618941832	0
100	0
100	0
