mass	division
2	3.897902373511217e-05
2	3.897902373511217e-05
2.1186440677966099	3.9960687474593986e-05
2.3559322033898304	4.2870925284767569e-05
2.593220338983051	4.6745066398249211e-05
2.8305084745762707	5.1419391616583431e-05
3.0677966101694913	5.6833376063842281e-05
3.2276897961238351	6.1123935263141134e-05
3.3050847457627119	6.1348124476091635e-05
3.5423728813559316	6.3665405827376351e-05
3.7796610169491522	6.7093109484477355e-05
4.0169491525423728	7.1433793474597976e-05
4.104540862020313	7.3475350573220651e-05
4.2542372881355934	7.3301093117120522e-05
4.4915254237288131	7.46945348903358e-05
4.7288135593220337	7.7310467203639495e-05
4.9577953525881142	8.0796842604991358e-05
4.9661016949152543	8.0705503369513532e-05
5.203389830508474	8.0001751531125331e-05
5.4406779661016946	8.0929583425550978e-05
5.6779661016949152	8.3062389662732296e-05
5.7870098456461072	8.4577519788407656e-05
5.9152542372881349	8.3261451501313741e-05
6.1525423728813564	8.2683890624168119e-05
6.3898305084745761	8.3551202846070819e-05
6.5917103007497868	8.5258032334377379e-05
6.6271186440677967	8.4501888897804331e-05
6.8644067796610173	8.1568437782284195e-05
7.101694915254237	8.0607839568852207e-05
7.3389830508474576	8.1030546687233787e-05
7.3713882446119747	8.1254048889803059e-05
7.5762711864406782	7.7191878611125315e-05
7.8135593220338979	7.482616821023409e-05
8.0508474576271194	7.408294080964422e-05
8.1254962459430207	7.4230423086448429e-05
8.2881355932203391	7.0536019390996286e-05
8.5254237288135588	6.7478148052024423e-05
8.7627118644067803	6.6132364987231773e-05
8.8534424983509421	6.6071598312958407e-05
9	6.231236297118838e-05
9.2372881355932197	5.8668122493680145e-05
9.4745762711864412	5.6834786059364428e-05
9.5545842695863428	5.660816724177899e-05
9.7118644067796609	5.2414752370202255e-05
9.9491525423728806	4.8642206504214912e-05
10.186440677966102	4.6661278627259332e-05
10.228219889668633	4.6499717747034953e-05
10.423728813559322	4.1763345480971291e-05
10.661016949152543	3.8513137035699705e-05
10.873578826053308	3.6969788212027722e-05
10.898305084745763	3.6240999376020427e-05
11.135593220338983	3.1522942350138956e-05
11.372881355932204	2.9040438436814584e-05
11.48980920932371	2.8372347074896281e-05
11.610169491525424	2.5548162756037123e-05
11.847457627118644	2.231804876663318e-05
12.075961891290023	2.0726403345013897e-05
12.084745762711865	2.0507134815270345e-05
12.322033898305085	1.6678751673054006e-05
12.559322033898304	1.4869567657382789e-05
12.630969674671089	1.4576799492758239e-05
12.796610169491526	1.1994467122221538e-05
13.033898305084746	1.0208411164840229e-05
13.153619632444379	9.7609915516358877e-06
13.271186440677965	8.1400623391084762e-06
13.508474576271187	6.5850692171164961e-06
13.642515210445175	6.1910507722489206e-06
13.745762711864407	5.0543815020808208e-06
13.983050847457626	3.912614085460756e-06
14.096022621294027	3.6926040696922651e-06
14.220338983050848	2.7603569705211962e-06
14.457627118644069	2.1076012346928213e-06
14.512191893151895	2.0470198181228932e-06
14.694915254237287	1.2708032131126447e-06
14.888634458523681	1.0004011093994511e-06
14.932203389830509	8.3119719303246578e-07
15.16949152542373	4.1621625228265353e-07
15.22232004266391	3.1142083814059698e-07
15.406779661016948	6.8419546247662766e-08
15.50920635832547	3.3576215857407223e-08
15.64406779661017	0
15.743461286061375	0
15.91537378438462	0
16	0
16	0
16.08462621561538	0
16.256538713938625	0
16.490793641674529	0
16.77767995733609	0
17.111365541476317	0
17.487808106848107	0
17.903977378705971	0
18.357484789554825	0
18.846380367555621	0
19.369030325328911	0
19.924038108709979	0
20.51019079067629	0
21.126421173946692	0
21.771780110331367	0
22.445415730413657	0
23.146557501649056	0
23.874503754056981	0
24.628611755388025	0
25.408289699250211	0
26.212990154353893	0
27.042204647411886	0
27.895459137979685	0
28.772310203876167	0
29.672341799101375	0
30.595162477719001	0
31.540403000521373	0
32.507714258814403	0
33.496765462968938	0
34.507242553611583	0
35.538846801269401	0
36.59129356650908	0
37.664311197537273	0
38.757640046158372	0
39.871031586144966	0
41.004247620635184	0
42.157059567255992	0
43.329247811383787	0
44.520601119365359	0
45.730916104695268	0
46.959996741123568	0
48.207653917488621	0
49.473705029760609	0
50.757973606366789	0
52.060288963366631	0
53.38048588646928	0
54.718404337249808	0
56.073889181232637	0
57.446789935781069	0
58.836960535964614	0
60.244259116779276	0
61.668547810272145	0
63.109692556276279	0
64.567562925597031	0
66.042031954609797	0
67.532975990333654	0
69.040274545137976	0
70.563810160320898	0
72.103468277870576	0
73.659137119785242	0
75.230707574385463	0
76.818073089102427	0
78.421129569273575	0
80.039775282516175	0
81.673910768287953	0
83.323438752275948	0
84.988264065285392	0
86.668293566327023	0
88.363436069625834	0
90.073602275296437	0
91.7987047034499	0
93.538657631515733	0
95.293377034578427	0
97.06278052854401	0
98.846787315964889	0
100	0
100	0
