Mw	P
2	5.490325214175527e-07
2.0980980980980979	5.7457534687524614e-07
2.1961961961961962	5.9962047580186279e-07
2.2942942942942941	6.2421098966866045e-07
2.3923923923923924	6.4838326619747025e-07
2.4904904904904903	6.7216829122056183e-07
2.5885885885885886	6.9559267249418406e-07
2.6866866866866865	7.1867943163478526e-07
2.7847847847847849	7.414486288819341e-07
2.8828828828828827	7.6391786050060398e-07
2.9809809809809811	7.8610771156459044e-07
3.079079079079079	8.0805058230124211e-07
3.1771771771771773	8.3027255319176623e-07
3.2752752752752752	8.5494308408927608e-07
3.3733733733733731	8.8216630998202149e-07
3.4714714714714714	9.1009988272490496e-07
3.5695695695695697	9.3827299684827953e-07
3.6676676676676676	9.6643709818042551e-07
3.7657657657657655	9.9424945275154986e-07
3.8638638638638643	1.0217244391220277e-06
3.9619619619619622	1.0488752161785538e-06
4.06006006006006	1.0757138660320482e-06
4.1581581581581579	1.1054237100709579e-06
4.2562562562562558	1.1373910977017356e-06
4.3543543543543546	1.1689737311732236e-06
4.4524524524524525	1.2001851326873548e-06
4.5505505505505504	1.2321403333985367e-06
4.6486486486486491	1.263806844690926e-06
4.7467467467467461	1.2960606999281046e-06
4.8448448448448449	1.3286916462574744e-06
4.9429429429429428	1.3609722021911736e-06
5.0410410410410407	1.3990285753342162e-06
5.1391391391391394	1.4377420249395497e-06
5.2372372372372364	1.4760258875457502e-06
5.3353353353353352	1.5138926017048159e-06
5.433433433433434	1.5513538875214851e-06
5.531531531531531	1.5885160048281261e-06
5.6296296296296298	1.6265537388199909e-06
5.7277277277277285	1.6642015519374642e-06
5.8258258258258255	1.7051008814296525e-06
5.9239239239239243	1.7520362206360815e-06
6.0220220220220222	1.7986254239088333e-06
6.1201201201201201	1.8447305412180979e-06
6.218218218218218	1.8903634754911843e-06
6.3163163163163158	1.935660100455866e-06
6.4144144144144146	1.9811454557300384e-06
6.5125125125125125	2.0261856044104697e-06
6.6106106106106104	2.0737888552065281e-06
6.7087087087087083	2.1314971861998811e-06
6.8068068068068062	2.1886260018536473e-06
6.9049049049049049	2.2451882706929701e-06
7.0030030030030028	2.3016020274820434e-06
7.1011011011011007	2.3583380362910162e-06
7.1991991991991986	2.4145319307504063e-06
7.2972972972972974	2.4701949525764851e-06
7.3953953953953953	2.5292366132316229e-06
7.4934934934934931	2.5996872097296583e-06
7.591591591591591	2.6694813483406971e-06
7.6896896896896889	2.7405359395529167e-06
7.7877877877877877	2.8109206983986564e-06
7.8858858858858856	2.8806752670737431e-06
7.9839839839839835	2.9505881759724266e-06
8.0820820820820813	3.0198643603477604e-06
8.1801801801801801	3.1020713289544173e-06
8.2782782782782789	3.193039451345264e-06
8.3763763763763777	3.2831672378325426e-06
8.4744744744744729	3.3724702106337675e-06
8.5725725725725717	3.4609633828493529e-06
8.6706706706706704	3.5506401244615417e-06
8.7687687687687692	3.6399030824592566e-06
8.866866866866868	3.7325002444907369e-06
8.9649649649649632	3.8501451513733355e-06
9.063063063063062	3.9667307851876049e-06
9.1611611611611607	4.0822754699991953e-06
9.2592592592592595	4.1984413335593494e-06
9.3573573573573583	4.3137433714296581e-06
9.4554554554554571	4.4281319242038853e-06
9.5535535535535523	4.5423494144073945e-06
9.6516516516516511	4.7005147809672989e-06
9.7497497497497498	4.858027789680069e-06
9.8478478478478486	5.0141765290979129e-06
9.9459459459459474	5.1689829700841e-06
10.044044044044044	5.322468486744761e-06
10.142142142142141	5.4746538805764261e-06
10.24024024024024	5.6333804463593001e-06
10.338338338338339	5.8475780956517956e-06
10.436436436436436	6.0599542036964377e-06
10.534534534534535	6.2713335876471725e-06
10.632632632632632	6.4838258394305535e-06
10.73073073073073	6.6945521618415635e-06
10.828828828828829	6.9035389511823785e-06
10.926926926926926	7.1621158424256172e-06
11.025025025025025	7.4617662629158104e-06
11.123123123123122	7.7595670674868714e-06
11.221221221221221	8.0549248019439693e-06
11.31931931931932	8.3490692954008494e-06
11.417417417417417	8.6422830749504646e-06
11.515515515515515	8.9753191195988776e-06
11.613613613613612	9.4148112535862943e-06
11.711711711711711	9.8507490264724963e-06
11.80980980980981	1.0283182487020415e-05
11.907907907907907	1.0712160559831142e-05
12.006006006006006	1.1137731082286655e-05
12.104104104104103	1.1628179431775119e-05
12.202202202202201	1.2283688317646291e-05
12.3003003003003	1.2934266854795329e-05
12.398398398398397	1.3586289458099999e-05
12.496496496496496	1.4235657252528462e-05
12.594594594594595	1.488088766151061e-05
12.692692692692692	1.5773348875968289e-05
12.790790790790791	1.6806825646789972e-05
12.888888888888888	1.7832308639168633e-05
12.986986986986986	1.88499024391357e-05
13.085085085085085	1.9859709509872706e-05
13.183183183183182	2.107542100686863e-05
13.281281281281281	2.2780367171647401e-05
13.379379379379378	2.447885489909139e-05
13.477477477477477	2.6164689801901596e-05
13.575575575575575	2.7837857618075234e-05
13.673673673673672	2.9916651841202118e-05
13.771771771771771	3.2874843203132219e-05
13.86986986986987	3.5810982492815591e-05
13.967967967967967	3.8725342707976017e-05
14.066066066066066	4.1618889337464301e-05
14.164164164164164	4.6278063831275883e-05
14.262262262262263	5.1681389789323555e-05
14.360360360360358	5.7049937812208298e-05
14.458458458458457	6.2379448852961018e-05
14.556556556556556	6.995809853580435e-05
14.654654654654655	8.0242796147203904e-05
14.752752752752754	9.0453476375431448e-05
14.850850850850849	0.00010059101277311293
14.948948948948948	0.00011621749710037732
15.047047047047046	0.0001352042891933317
15.145145145145145	0.00015405661063865243
15.243243243243244	0.0001746544096797358
15.341341341341339	0.00020200398060890988
15.439439439439438	0.00022916221149909267
15.537537537537537	0.000254444908624778
15.635635635635635	0.0002754133716913015
15.733733733733734	0.00029624682998475189
15.831831831831833	0.00030633683783293903
15.929929929929928	0.00031409761369991418
16.028028028028025	0.00031417413417818583
16.126126126126124	0.00030789000369360679
