Mw	P
2	2.0028775922932643e-10
2.0980980980980979	2.1773660974771496e-10
2.1961961961961962	2.3547728443517828e-10
2.2942942942942941	2.5350702452085462e-10
2.3923923923923924	2.7182194648570078e-10
2.4904904904904903	2.9041732290465844e-10
2.5885885885885886	3.092877970681888e-10
2.6866866866866865	3.2842754841150734e-10
2.7847847847847849	3.4783042097613267e-10
2.8828828828828827	3.6749002379603639e-10
2.9809809809809811	3.8740124405302351e-10
3.079079079079079	4.0756294337753054e-10
3.1771771771771773	4.2813070334281663e-10
3.2752752752752752	4.5219427375776826e-10
3.3733733733733731	4.8003616195987168e-10
3.4714714714714714	5.0896991872502931e-10
3.5695695695695697	5.3860815605005462e-10
3.6676676676676676	5.6878581627792883e-10
3.7657657657657655	5.9926111346595257e-10
3.8638638638638643	6.3002543605743593e-10
3.9619619619619622	6.6107021177167826e-10
4.06006006006006	6.923869334525858e-10
4.1581581581581579	7.2934095515765225e-10
4.2562562562562558	7.7107915774046327e-10
4.3543543543543546	8.1315360435504062e-10
4.4524524524524525	8.5555332383016275e-10
4.5505505505505504	8.9940073106371504e-10
4.6486486486486491	9.436371720215265e-10
4.7467467467467461	9.8889904012623028e-10
4.8448448448448449	1.0349762114454085e-09
4.9429429429429428	1.0813614263006502e-09
5.0410410410410407	1.1418786627918411e-09
5.1391391391391394	1.2052612541711385e-09
5.2372372372372364	1.2690355221384551e-09
5.3353353353353352	1.3331871376928381e-09
5.433433433433434	1.3977020469196407e-09
5.531531531531531	1.4626942453546754e-09
5.6296296296296298	1.5297356189454722e-09
5.7277277277277285	1.5971200747611617e-09
5.8258258258258255	1.6755182641472383e-09
5.9239239239239243	1.7718183136613048e-09
6.0220220220220222	1.8687702310944149e-09
6.1201201201201201	1.9661730531012149e-09
6.218218218218218	2.0640080925590451e-09
6.3163163163163158	2.1623342102739794e-09
6.4144144144144146	2.2614631748984189e-09
6.5125125125125125	2.3609785525008675e-09
6.6106106106106104	2.4708693296351446e-09
6.7087087087087083	2.619834001897016e-09
6.8068068068068062	2.7693569077638782e-09
6.9049049049049049	2.9194124018485562e-09
7.0030030030030028	3.070605851807804e-09
7.1011011011011007	3.2236505352807585e-09
7.1991991991991986	3.3771735767790576e-09
7.2972972972972974	3.5311513624681171e-09
7.3953953953953953	3.7047409391315189e-09
7.4934934934934931	3.9380981897969721e-09
7.591591591591591	4.17214668631359e-09
7.6896896896896889	4.4110379337935601e-09
7.7877877877877877	4.6505335055093413e-09
7.8858858858858856	4.8906207868042239e-09
7.9839839839839835	5.1319033538678559e-09
8.0820820820820813	5.373700442179877e-09
8.1801801801801801	5.6955894782093537e-09
8.2782782782782789	6.0790801742771671e-09
8.3763763763763777	6.463340648989349e-09
8.4744744744744729	6.8483217243892064e-09
8.5725725725725717	7.2339754922546771e-09
8.6706706706706704	7.62567245698072e-09
8.7687687687687692	8.0190401262420668e-09
8.866866866866868	8.4468344626063058e-09
8.9649649649649632	9.0889417378294038e-09
9.063063063063062	9.7319630865640116e-09
9.1611611611611607	1.0375825860948858e-08
9.2592592592592595	1.1024436706248243e-08
9.3573573573573583	1.1674150411398019e-08
9.4554554554554571	1.2324616638669692e-08
9.5535535535535523	1.2976513432558911e-08
9.6516516516516511	1.4092431557275923e-08
9.7497497497497498	1.5215195425091194e-08
9.8478478478478486	1.6338916123368027e-08
9.9459459459459474	1.7463484897899222e-08
10.044044044044044	1.8588795884129979e-08
10.142142142142141	1.9714746038813756e-08
10.24024024024024	2.0949722103941087e-08
10.338338338338339	2.2965517546464924e-08
10.436436436436436	2.4982308267314692e-08
10.534534534534535	2.700323346001047e-08
10.632632632632632	2.9036890353817857e-08
10.73073073073073	3.1071089861617782e-08
10.828828828828829	3.3105668484648263e-08
10.926926926926926	3.6102989205073945e-08
11.025025025025025	3.9908690570929426e-08
11.123123123123122	4.3715581876788693e-08
11.221221221221221	4.7522598300182659e-08
11.31931931931932	5.1333763611739154e-08
11.417417417417417	5.5149770898679941e-08
11.515515515515515	5.9960666357549914e-08
11.613613613613612	6.7527154781679468e-08
11.711711711711711	7.5092450551995556e-08
11.80980980980981	8.2656038531061588e-08
11.907907907907907	9.021741757553575e-08
12.006006006006006	9.7776100197858327e-08
12.104104104104103	1.0771974498921681e-07
12.202202202202201	1.2359484346352774e-07
12.3003003003003	1.3946453279030083e-07
12.398398398398397	1.5536236284341644e-07
12.496496496496496	1.7126733838713278e-07
12.594594594594595	1.8716444997398236e-07
12.692692692692692	2.1557130267269493e-07
12.790790790790791	2.5133727998055419e-07
12.888888888888888	2.8708059454479517e-07
12.986986986986986	3.2279931686828274e-07
13.085085085085085	3.5849157064500453e-07
13.183183183183182	4.0970234679421511e-07
13.281281281281281	4.969418271649735e-07
13.379379379379378	5.8415344507278274e-07
13.477477477477477	6.7129300780523883e-07
13.575575575575575	7.5835541590149797e-07
13.673673673673672	8.9206757446947236e-07
13.771771771771771	1.1260075080299045e-06
13.86986986986987	1.3597286024333419e-06
13.967967967967967	1.5932204252160494e-06
14.066066066066066	1.8264745173346337e-06
14.164164164164164	2.3847566842729289e-06
14.262262262262263	3.0853419788053093e-06
14.360360360360358	3.7852045390144591e-06
14.458458458458457	4.4842860043458538e-06
14.556556556556556	5.9357163426581463e-06
14.654654654654655	8.2971766327254599e-06
14.752752752752754	1.065587572637562e-05
14.850850850850849	1.3011725442747513e-05
14.948948948948948	1.9233184991122725e-05
15.047047047047046	2.7868893040194974e-05
15.145145145145145	3.649367995815924e-05
15.243243243243244	4.9142396161995879e-05
15.341341341341339	7.6648384388437803e-05
15.439439439439438	0.00010411781954161157
15.537537537537537	0.00013498798429809454
15.635635635635635	0.00017427613369642081
15.733733733733734	0.00021350888780341268
15.831831831831833	0.00023411369343427158
15.929929929929928	0.00025036733849909126
16.028028028028025	0.00025076808604935455
16.126126126126124	0.00023829604291527871
16.224224224224223	0.00021772929140241836
16.322322322322321	0.00018574256231148131
16.42042042042042	0.00014818271234987379
16.518518518518519	0.00011383550346657358
16.616616616616618	8.7546176546782868e-05
16.714714714714717	6.1297080711653553e-05
16.812812812812815	4.1367775484485674e-05
16.910910910910914	3.2713936496728036e-05
17.009009009009006	2.4073780000101703e-05
17.107107107107105	1.5447639606987965e-05
17.205205205205203	1.2700154017450513e-05
17.303303303303302	1.0223866598701592e-05
17.401401401401401	7.7516599715805687e-06
17.4994994994995	5.4858431784271246e-06
17.597597597597598	4.7173682233632615e-06
17.695695695695697	3.9501878394929879e-06
17.793793793793796	3.1843180012832556e-06
17.891891891891895	2.4198107122349614e-06
17.989989989989986	2.0935950769154941e-06
18.088088088088089	1.8293012182947583e-06
18.186186186186188	1.5654790815119475e-06
18.284284284284283	1.3021335197735932e-06
18.382382382382382	1.0804329330798979e-06
18.48048048048048	9.8005810437467211e-07
18.578578578578579	8.7987292623787849e-07
18.676676676676678	7.8305341033041003e-07
18.774774774774773	6.8693453499609916e-07
18.872872872872872	6.0708729133488171e-07
18.970970970970971	5.7046708711083269e-07
19.069069069069069	5.3393087454891691e-07
19.167167167167168	4.9747908530513107e-07
19.265265265265263	4.6313694424712428e-07
19.363363363363362	4.3402636588293531e-07
19.461461461461461	4.2727977029973416e-07
19.55955955955956	4.2214555872853466e-07
19.657657657657658	4.1743389250276867e-07
19.755755755755754	4.1276196138761024e-07
19.853853853853852	4.0813147277214548e-07
19.951951951951951	4.2171714854579619e-07
20.05005005005005	4.4311537641471423e-07
20.148148148148149	4.6453075371423229e-07
20.246246246246244	4.8596241313411254e-07
20.344344344344343	5.0778466597287758e-07
20.442442442442442	5.3027985108500971e-07
20.54054054054054	5.9063694480904117e-07
20.638638638638639	6.5435251448695548e-07
20.736736736736734	7.1806466023465425e-07
20.834834834834833	7.8177167264952225e-07
20.932932932932932	8.4547187140956735e-07
21.031031031031031	9.4301975618730958e-07
21.129129129129129	1.0987442344164013e-06
21.227227227227225	1.257363469389849e-06
21.325325325325323	1.4159470687537728e-06
21.423423423423422	1.5744835699158208e-06
21.521521521521521	1.7599059171620408e-06
21.61961961961962	2.1617281622931948e-06
21.717717717717715	2.5634101894017425e-06
21.815815815815814	2.9664869104811779e-06
21.913913913913913	3.3726156400238381e-06
22.012012012012011	3.9384215300147683e-06
22.11011011011011	5.0417449894225661e-06
22.208208208208205	6.1445941830204518e-06
22.306306306306304	7.2469457056292211e-06
22.404404404404403	8.3487765684214524e-06
22.502502502502502	1.0978351885400279e-05
22.6006006006006	1.41226190963239e-05
22.698698698698696	1.726531737727983e-05
22.796796796796794	2.0406374961736503e-05
22.894894894894893	2.7074832208279369e-05
22.992992992992992	3.5270343091127698e-05
23.091091091091091	4.3461304024337135e-05
23.189189189189189	5.2230109037155396e-05
23.287287287287285	6.5878675151368753e-05
23.385385385385383	7.951910887914269e-05
23.483483483483482	9.3087093916785873e-05
23.581581581581581	0.00010307028168265535
23.67967967967968	0.00011304683110893477
23.777777777777775	0.00012013617338593532
23.875875875875874	0.00012432503628729375
23.973973973973973	0.00012622550806959843
24.072072072072071	0.00012520570424081313
24.17017017017017	0.000120841066870764
24.268268268268265	0.00011589191514450119
24.366366366366364	0.00010606484510780524
24.464464464464463	9.6173835340089705e-05
24.562562562562562	8.5005496734399602e-05
24.66066066066066	7.2280880378487443e-05
24.758758758758756	5.9565305146656149e-05
24.856856856856854	4.8659086549299807e-05
24.954954954954953	4.0939691324774129e-05
25.053053053053052	3.336212031383875e-05
25.151151151151151	2.5790380550660983e-05
25.24924924924925	2.186829570483442e-05
25.347347347347345	1.902532493270634e-05
25.445445445445444	1.6184745595397434e-05
25.543543543543542	1.3698909054213204e-05
25.641641641641641	1.2720709165441465e-05
25.73973973973974	1.2299535590639871e-05
25.837837837837835	1.1879075711278006e-05
25.935935935935934	1.1459332499209984e-05
26.034034034034033	1.2171943925618545e-05
26.132132132132131	1.3594269590485024e-05
26.23023023023023	1.5016366244369308e-05
26.328328328328329	1.6438245576640323e-05
26.426426426426424	1.8664564695195128e-05
26.524524524524526	2.3033138051061344e-05
26.622622622622622	2.7564075764720577e-05
26.720720720720717	3.2093419260658118e-05
26.818818818818819	3.7412801276749948e-05
26.916916916916914	4.7151859985995647e-05
27.015015015015017	5.6896561146863993e-05
27.113113113113112	6.6726135033360549e-05
27.211211211211207	7.7665821404218673e-05
27.30930930930931	8.975555462748265e-05
27.407407407407405	0.00010183984503750895
27.505505505505507	0.0001123544548293972
27.603603603603602	0.00011989612747045013
27.701701701701698	0.00012745545725306148
27.7997997997998	0.00013154234723192126
27.897897897897895	0.00013461215042841678
27.995995995995997	0.00013525930667821951
28.094094094094093	0.00013383890234690946
28.192192192192188	0.0001298492529984994
28.29029029029029	0.00012529983563076892
28.388388388388385	0.00011738281705849741
28.486486486486488	0.00010946939809221557
28.584584584584583	9.9445531893964807e-05
28.682682682682678	8.786278309394057e-05
28.780780780780781	7.6287565210148117e-05
28.878878878878876	6.5638907848330444e-05
28.976976976976978	5.6219703138837775e-05
29.075075075075073	4.6805619913261352e-05
29.173173173173176	3.7396771169835373e-05
29.271271271271271	3.1649236085376978e-05
29.369369369369366	2.7018182191705266e-05
29.467467467467468	2.2392171763948264e-05
29.565565565565564	1.7770792836826408e-05
29.663663663663666	1.4883474874442577e-05
29.761761761761761	1.2985792571193749e-05
29.859859859859856	1.1089260494741985e-05
29.957957957957959	9.1938976380303342e-06
30.056056056056054	7.3793143845477748e-06
30.154154154154156	6.6101567082420548e-06
30.252252252252251	5.8423650506007821e-06
30.350350350350347	5.0750652618537431e-06
30.448448448448449	4.308271469711282e-06
30.546546546546544	3.5839938391195368e-06
30.644644644644647	3.2574234498413085e-06
30.742742742742742	2.9310741180679516e-06
30.840840840840837	2.6053836132186864e-06
30.938938938938939	2.2807079757291804e-06
31.037037037037035	1.9562584752878409e-06
31.135135135135137	1.7615816995669931e-06
31.233233233233232	1.6144779633288281e-06
31.331331331331327	1.4674781079608712e-06
31.42942942942943	1.3205835081858378e-06
31.527527527527525	1.1737955173037581e-06
31.625625625625627	1.0276874094863145e-06
31.723723723723722	9.5706034635514086e-07
31.821821821821825	8.8666934373002623e-07
31.91991991991992	8.1633097938982686e-07
32.018018018018012	7.4604586796222708e-07
32.116116116116117	6.7581461439430127e-07
32.214214214214209	6.0563781407699596e-07
32.312312312312315	5.6646725747256192e-07
32.410410410410407	5.3082618295936166e-07
32.508508508508505	4.9522417183748207e-07
32.606606606606604	4.5965465325296407e-07
32.704704704704703	4.2411382171870883e-07
32.802802802802802	3.8860195854597487e-07
32.900900900900901	3.6094643510791491e-07
32.998998998998999	3.4188074582848615e-07
33.097097097097098	3.2283127262650024e-07
33.195195195195197	3.0401303267030637e-07
33.293293293293296	2.8524703704837843e-07
33.391391391391394	2.6649735382709188e-07
33.489489489489486	2.4776411831500599e-07
33.587587587587592	2.3494465701725633e-07
33.685685685685684	2.2445274035889661e-07
33.78378378378379	2.1397047139825927e-07
33.881881881881881	2.0349792167078269e-07
33.979979979979973	1.931077040553158e-07
34.078078078078079	1.8284677218361722e-07
34.176176176176178	1.7270092411602395e-07
34.274274274274276	1.6532593060787136e-07
34.372372372372375	1.5952633165107969e-07
34.470470470470467	1.5373285708844123e-07
34.568568568568566	1.4794693335087068e-07
34.666666666666664	1.4216803234581443e-07
34.764764764764763	1.3639674361742224e-07
34.862862862862862	1.3071616424274056e-07
34.960960960960961	1.2565085808632862e-07
35.059059059059059	1.2238383918547278e-07
35.157157157157158	1.1912079985076579e-07
35.255255255255257	1.1594786556863971e-07
35.353353353353356	1.128880302378633e-07
35.451451451451454	1.0983240604696688e-07
35.549549549549546	1.0678118681639028e-07
35.647647647647645	1.0373568067543553e-07
35.745745745745744	1.0150652034282457e-07
35.843843843843842	9.989329224084509e-08
35.941941941941941	9.8282920235269736e-08
36.04004004004004	9.6683136022811057e-08
36.138138138138139	9.508624997707802e-08
36.236236236236238	9.3492239682758618e-08
36.334334334334336	9.1901108690978977e-08
36.432432432432435	9.0550111052157462e-08
36.530530530530527	8.9693980388786339e-08
36.628628628628626	8.9216957572875726e-08
36.726726726726724	8.8756396205740529e-08
36.824824824824823	8.8298079035483345e-08
36.922922922922922	8.7842001818931362e-08
37.021021021021021	8.7388160269144771e-08
37.119119119119119	8.6936550056404839e-08
37.217217217217218	8.6497553173628669e-08
37.315315315315317	8.6205230077902782e-08
37.413413413413416	8.6258334609020379e-08
37.511511511511507	8.6529921536858653e-08
37.609609609609606	8.6999156157915298e-08
