Mw	Cnd
2	3.6282835077099671e-12
2.4138597022561896	5.2035058790599922e-12
2.9651446820727712	8.2533415360990025e-12
3.4895218926418288	1.2820579024471299e-11
3.9860366101334836	1.9841879690495118e-11
4.453603739642829	3.0992835950788172e-11
4.8909739118505176	4.9444563705615607e-11
5.2966855265710393	8.1587919314015358e-11
5.6689941222927347	1.4135774089671507e-10
6.0057628660728106	2.6200446106866383e-10
6.3042808481650869	5.3057499662096389e-10
6.5609318037700115	1.1783722705573952e-09
6.7704982688694058	2.5013272498522085e-09
6.9242926625592771	3.4190410303320614e-09
7	3.5333143548987644e-09
7.0757073374407229	3.4214863912637279e-09
7.2295017311305942	2.559222918373918e-09
7.4390681962299885	1.2922299013436453e-09
7.6957191518349131	6.3289759931569562e-10
7.9942371339271894	3.4299306393068876e-10
8.3310058777072644	2.0513346971704283e-10
8.7033144734289607	1.3274093579589106e-10
9.1090260881494824	9.1349348114701166e-11
9.5463962603571701	6.5993131087452081e-11
10.013963389866516	4.9568209501424211e-11
10.510478107358171	3.8430598609691416e-11
11.034855317927228	3.0587196071884662e-11
11.58614029774381	2.4885519366792914e-11
12.163483930706423	2.0626131983133242e-11
12.766124127137376	1.7370241657795191e-11
13.393371562021581	1.4830381776406598e-11
14.044598515383543	1.2813673375684237e-11
14.71922999344698	1.1187591646502473e-11
15.416736561143908	9.8590857665721154e-12
16.136628481753036	8.7588773210371388e-12
16.878450870715803	7.8388844262418586e-12
17.641779647389697	7.0602793818522066e-12
18.426218122492884	6.3978348392320415e-12
19.23139409770976	5.8277561354324693e-12
20.056957382152376	5.3337410628027482e-12
20.902577651262447	4.9037169414065982e-12
21.767942589411611	4.5257079431766535e-12
22.652756269363906	4.1928077347200282e-12
23.556737730913515	3.897249007574711e-12
24.479619728114862	3.6337309888440694e-12
25.421147620092544	3.397734773756692e-12
26.381078384825141	3.1854617206545697e-12
27.359179738812561	2.9937643634007989e-12
28.355229348362784	2.8201879108595412e-12
29.369014120522639	2.6623319615150605e-12
30.400329563543078	2.5182534851169792e-12
31.448979208300482	2.386524235879879e-12
32.514774083359157	2.2656261636061288e-12
33.597532237409034	2.1543703125972588e-12
34.69707830368764	2.0517261443954559e-12
35.813243101729753	1.9568750489762743e-12
36.945863272406015	1.8689836529733941e-12
38.094780942735724	1.7873015387248295e-12
39.259843417403488	1.7113437642699504e-12
40.44090289428943	1.6404764409339927e-12
41.637816201647603	1.574376775416856e-12
42.850444554847229	1.5124650635850745e-12
44.078653330832381	1.4544625330449897e-12
45.322311858664989	1.4000025639786291e-12
46.581293224697184	1.3488364855131789e-12
47.855474091077255	1.3006105491686921e-12
49.144734526431421	1.2552378020565428e-12
50.448957847684838	1.2123314782184953e-12
51.76803047209129	1.1718064572377441e-12
53.10184177863475	1.1334581620633474e-12
54.450283978048745	1.0971307458011456e-12
55.813251990772336	1.0626452282286031e-12
57.190643332226784	1.0299102867248328e-12
58.582358004854186	9.9881104810324402e-13
59.988298396411352	9.6924128771062162e-13
61.408369184057499	9.4109190851966089e-13
62.842477243815729	9.142229407712796e-13
64.290531565024992	8.886063027349411e-13
65.752443169432127	8.6415242306911154e-13
67.228125034603451	8.4075860738728413e-13
68.717492021362077	8.184182710446722e-13
70.220460804981087	7.9703365719503929e-13
71.736949809885061	7.7653305111187955e-13
73.266879147631485	7.5689578732329377e-13
74.81017055796238	7.3806410923673092e-13
76.366747352731792	7.1996735423319038e-13
77.936534362530551	7.0255166054785822e-13
79.519457885842414	6.8587878853914e-13
81.115445640578628	6.6986510284868164e-13
82.724426717848615	6.5443737003627805e-13
84.346331537835283	6.3957097850335388e-13
85.98109180765239	6.2524137726388303e-13
87.628640481070477	6.1140857295485097e-13
89.288911720005274	5.9813566157235343e-13
90.96184085767014	5.853200574187217e-13
92.647364363300838	5.7289792863923273e-13
94.345419808366472	5.6091578258797109e-13
96.055945834187014	5.4940082381441585e-13
97.778882120882173	5.3820717552006454e-13
100	5.2441225374870476e-13

