U	Sgm
0.01	0.93677670229220134
0.029999999999999999	0.57013804765507536
0.050000000000000003	0.19812564590188175
0.063	0.021897137689027592
0.064500000000000002	0.0047856929462467505
0.064600000000000005	0.0036666476158609971
0.064699999999999994	0.002550285141393019
0.064799999999999996	0.0014365998784344111
0.064899999999999999	0.00032558617815684398
0.065000000000000002	3.6813381295409206e-13
0.070999999999999994	2.5758259795600968e-13
0.080000000000000002	1.9191213114300098e-13
0.10000000000000001	1.2656824195445941e-13
0.29999999999999999	3.1592658854757116e-14
0.69999999999999996	1.3127575839774024e-14
1	9.1564499787251336e-15
