Mw	Div
2	8.1274016788869321e-05
2	8.1274016788869321e-05
2.3333333333333339	9.1755337494231243e-05
3	0.00011852947419652499
3.5077242883048463	0.00014560120933633324
3.6666666666666679	0.00014810239432448585
4.3333333333333339	0.00017297817308230745
4.6843889841900577	0.00019186489094031968
5	0.00019737190682425398
5.6666666666666679	0.00022165446719714721
5.8391942983328562	0.00023123676294912738
6.3333333333333339	0.00024010449135227448
6.9718607916006015	0.0002625682531885383
7	0.00026242672895207276
7.666666666666667	0.00027435833319365842
8.0820961063232346	0.00028912119301201136
8.3333333333333339	0.00028785598728459007
9	0.00029893419474350078
9.1695939072452219	0.00030501301507956908
9.6666666666666679	0.00030286024535304296
10.234032695098627	0.00031212356781619617
10.333333333333334	0.00030948366467966758
11	0.00030777657925666889
11.27507447223751	0.00031259247534562722
11.666666666666668	0.00030354969656757382
12.292363235544517	0.00030361347661073341
12.333333333333334	0.00030185126661918198
13	0.00028988122054074986
13.285523266519341	0.00029088878279022522
13.666666666666666	0.00027749462701985448
14.254157181757568	0.0002711663757462324
14.333333333333334	0.00026710720202459919
15	0.00024999565065416594
15.197843698482117	0.00024907430928097291
15.666666666666666	0.00023076328521403434
16.116135058783176	0.00022389982915597541
16.333333333333332	0.00021302973975830612
17	0.00019672350011934998
17.008554041899053	0.0001966652729192977
17.666666666666668	0.0001736496391192675
17.87459047501563	0.00017081008854063297
18.333333333333332	0.000152097301972942
18.713697127931681	0.00014493404107880577
19	0.00013205922222541639
19.525284842981826	0.00012022789982692094
19.666666666666664	0.0001134878290700923
20.308716705033785	9.75023299774041e-05
20.333333333333332	9.6296774880479065e-05
21	7.8352250326588612e-05
21.063300991420832	7.7654009069357704e-05
21.666666666666664	6.1746902630476725e-05
21.78828254938599	6.0419838977735197e-05
22.333333333333332	4.7266772317275614e-05
22.482832114757468	4.5782588613107247e-05
23	3.4926735290626479e-05
23.146032886822145	3.371719443950935e-05
23.666666666666664	2.4751787926148285e-05
23.776863371299022	2.4064743437915039e-05
24.333333333333332	1.6727593142721944e-05
24.374175026863263	1.6560827177042808e-05
24.936662474618203	1.1042734322095071e-05
25	1.005868054004216e-05
25.462822712074168	7.1146369174001778e-06
25.666666666666664	5.2825194520345069e-06
25.950897421107197	4.2117086313211419e-06
26.333333333333332	2.4490788538770952e-06
26.39878799888259	2.156886668380671e-06
26.80392381621704	7.260191362208221e-07
27	4.0578929258824417e-07
27.163043624387136	2.6916803054216268e-07
27.471797024425271	1.2195466430826185e-07
27.723907360351753	5.5946661193558032e-08
27.908923394469493	1.773698204745684e-08
28	0
28	0
28.091076605530507	0
28.276092639648247	0
28.528202975574729	0
28.836956375612864	0
29.19607618378296	0
29.60121200111741	0
30.049102578892803	0
30.537177287925832	0
31.063337525381797	0
31.625824973136737	0
32.223136628700978	0
32.853967113177859	0
33.517167885242529	0
34.21171745061401	0
34.936699008579168	0
35.691283294966212	0
36.474715157018174	0
37.286302872068319	0
38.12540952498437	0
38.991445958100947	0
39.883864941216828	0
40.802156301517883	0
41.74584281824243	0
42.714476733480659	0
43.707636764455486	0
44.724925527762494	0
45.765967304901373	0
46.830406092754778	0
47.917903893676765	0
49.028139208399395	0
50.160805701667144	0
51.315611015809942	0
52.492275711695157	0
53.690532319898431	0
54.910124487687085	0
56.150806209654078	0
57.412341131682695	0
58.69450191944199	0
59.997069683875026	0
61.319833457194719	0
62.662589713784961	0
64.025141931148909	0
65.407300186675712	0
66.808880786532285	0
68.229705923443618	0
69.669603360516078	0
71.128406138594798	0
72.605952304936892	0
74.102084661232581	0
75.616650529225922	0
77.149501532375794	0
78.700493392164532	0
80.269485737807273	0
81.856341928242188	0
83.460928885395532	0
85.083116937813514	0
86.72277967384251	0
88.379793803615669	0
90.054039029174533	0
91.745397922115643	0
93.453755808207077	0
95.17900065846996	0
96.921022986263281	0
98.679715749950944	0
100	0
100	0

