Radius	RhoND	Mass	phi	Temp	Fe	O	Si	Mg	Ni	Ca	Al
0.48	1.9159313525099944	0.22819852395692816	1.5323479141383518	4812.740046838408	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.485	1.9081656443414268	0.2348755380190229	1.527375515806794	4787.8727556596405	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.49	1.9002881830760887	0.2416639600350485	1.5223629454661949	4763.005464480874	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.495	1.8922979986084199	0.24856302667228944	1.5173105623715744	4738.138173302108	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.5	1.8841941208328552	0.2555738992693087	1.5122187247494323	4713.270882123341	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.505	1.8759755796438329	0.2626950690290449	1.507087796373061	4688.403590944575	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.51	1.8676414049357912	0.2699265163145815	1.5019181575822833	4663.536299765808	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.515	1.859190626603168	0.27726741253937753	1.4967101968872267	4638.669008587041	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.52	1.8506222745403984	0.2847190355093597	1.4914642980668238	4613.801717408274	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.525	1.8419353786419232	0.2922798942478357	1.4861808457339438	4588.934426229508	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.53	1.8331289688021768	0.2999489659199958	1.4808602458149625	4564.067135050741	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.535	1.8242020749156007	0.30772772247213664	1.4755028975907103	4539.199843871974	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.54	1.8151537268766293	0.3156139308039991	1.4701092037339425	4514.332552693208	0.855	0.0	0.06	0.0	0.052	0.0	0.0
0.545	1.0104681132296442	0.32211060479260906	1.4646921824661499	4481.464821618651	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.55	1.0077758775021486	0.3266689757112637	1.4592812983485013	4437.712460941522	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.555	1.0050728632634738	0.3312346360014867	1.4538931801351194	4393.960100264395	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.56	1.0023590705136198	0.33590366316280296	1.4485270020854537	4350.207739587267	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.5650000000000001	0.9996344992525869	0.34069535687852626	1.4431810542604473	4306.455378910138	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.5700000000000001	0.9968991494803748	0.3454794171900061	1.4378545579398192	4262.703018233011	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.5750000000000001	0.9941530211969838	0.3503918417309245	1.4325467402850205	4218.950657555883	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.58	0.9913961144024136	0.3553658137339273	1.4272563276714458	4175.198296878755	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.585	0.9886284290966644	0.3604052436333255	1.421982571636493	4131.445936201628	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.59	0.9858499652797359	0.3655094511298156	1.4167247305258208	4087.6935755244995	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.595	0.9830607229516286	0.3706811669134445	1.4114820785675848	4043.941214847371	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.6	0.980260702112342	0.3759911696236487	1.4062534087876168	4000.1888541702433	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.605	0.9774499027618766	0.3813011801773237	1.4010380206324868	3956.436493493115	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.61	0.9746283249002321	0.38670380366789175	1.3958355648002188	3912.684132815987	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.615	0.9717959685274083	0.39212793796200857	1.3906455513860998	3868.9317721388593	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.62	0.9689528336434056	0.3977296401334498	1.385466964230228	3825.179411461731	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.625	0.9660989202482236	0.40335567530183736	1.3802987967003524	3781.4270507846027	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.63	0.9632342283418628	0.4090072029200689	1.3751410593370998	3737.674690107475	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.635	0.9603587579243229	0.4147888917972303	1.369993102023244	3693.9223294303465	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.64	0.9574725089956037	0.4207033175810202	1.3648536364783634	3650.169968753218	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.645	0.9545754815557056	0.4265603077189691	1.3597225578633167	3606.4176080760903	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.65	0.9516676756046286	0.4325319043558551	1.3545998881398114	3562.6652473989625	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.655	0.9487490911423722	0.4386641104566725	1.3494843590598835	3518.912886721834	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.66	0.945819728168937	0.4448249964176059	1.3443752461664435	3475.1605260447063	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.665	0.9428795866843226	0.4509969880119745	1.3392727118991332	3431.408165367578	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.67	0.9399286666885291	0.4573316250875524	1.3341761646804071	3387.6558046904497	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.675	0.9369669681815564	0.4636991326529485	1.3290849050235485	3343.9034440133223	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.68	0.9339944911634048	0.470098639725	1.323998979244012	3300.151083336194	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.685	0.9310112356340744	0.4766686140535362	1.3189176968885252	3256.3987226590657	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.6900000000000001	0.9280172015935646	0.4832506651282243	1.3138404896753808	3212.6463619819383	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.6950000000000001	0.9250123890418755	0.4898652863123982	1.3087675381731303	3168.8940013048095	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.7000000000000001	0.9219967979790079	0.4966553469617557	1.3036981789451012	3125.141640627682	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.705	0.9189704284049608	0.5033994811658165	1.2986321599114952	3081.3892799505543	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.71	0.9159332803197348	0.5103206968919382	1.2935692462194592	3037.636919273426	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.715	0.9128853537233296	0.5173144864174172	1.288508616813309	2993.8845585962986	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.72	0.9098266486157454	0.5243099129317728	1.2834503371799162	2950.1321979191703	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.725	0.9067571649969824	0.5314645895262449	1.2783940619381116	2906.379837242042	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.73	0.90367690286704	0.538592705177993	1.2733395811794714	2862.6274765649146	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.735	0.9005858622259186	0.5458840329894182	1.268286686610113	2818.875115887786	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.74	0.897484043073618	0.5532140497312297	1.2632348680461525	2775.1227552106584	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.745	0.8943714454101384	0.5605826965345841	1.2581842042557592	2731.37039453353	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.75	0.89124806923548	0.5681169040515008	1.2531342066963147	2687.618033856402	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.755	0.8881139145496424	0.5756905339487365	1.2480843949350129	2643.8656731792744	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.76	0.8849689813526256	0.5833053710106092	1.2430348528919837	2600.1133125021456	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.765	0.8818132696444299	0.5909837530124012	1.2379855579984074	2556.3609518250178	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.77	0.8786467794250546	0.5987436158724471	1.2329363174320895	2512.6085911478895	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.775	0.8754695106945009	0.6065442316009387	1.2278870396589852	2468.856230470761	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.78	0.8722814634527679	0.6145391051240573	1.2228371754237577	2425.1038697936333	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.785	0.8690826376998557	0.6225780317428176	1.2177861749953136	2381.3515091165054	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.79	0.8658730334357646	0.6305666210485563	1.2127344972158232	2337.599148439377	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.795	0.8626526506604942	0.6387561402153604	1.2076819681376048	2293.8467877622493	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.8	0.859421489374045	0.6469869535850422	1.2026280500575903	2250.094427085121	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.805	0.8561795495764166	0.6552336666075063	1.1975729471293073	2206.342066407993	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.81	0.8529268312676093	0.6635480270263082	1.1925167570653357	2162.589705730865	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.815	0.8496633344476227	0.6720410790275442	1.187458959102281	2118.837345053738	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.82	0.8463890591164571	0.6805785666190418	1.1823991329473245	2075.08498437661	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.825	0.8431040052741123	0.6890897128915242	1.1773376331412306	2031.3326236994817	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.83	0.8398081729205886	0.6977796244643656	1.172274317526289	1987.5802630223536	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.8349999999999999	0.8365015620558858	0.706445288091673	1.1672090329401708	1943.8279023452262	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.8399999999999997	0.8331841726800041	0.7152918881874826	1.1621416331049326	1900.0755416680995	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.8449999999999998	0.8298560047929429	0.7240415628082908	1.1570722231612725	1856.3231809909712	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.85	0.826517058394703	0.7330007219982275	1.1520008177124172	1812.5708203138413	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.855	0.823167333485284	0.7419772431030015	1.1469270279434152	1768.818459636713	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.86	0.8198068300646858	0.7511401040498356	1.1418505649292376	1725.066098959585	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.865	0.8164355481329085	0.7602292888699579	1.136771447784477	1681.3137382824573	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.87	0.8130534876899523	0.7694051586314421	1.131690034696554	1637.5613776053292	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.875	0.8096606487358166	0.7786223780540154	1.1266062904118856	1593.809016928201	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.88	0.8062570312705023	0.7879845248154557	1.1215199949937005	1550.0566562510728	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.885	0.8028426352940089	0.7973591659837261	1.1164310247139295	1506.304295573945	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.89	0.7994174608063362	0.8068794376853714	1.1113392630584815	1462.5519348968166	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.895	0.7412342608788925	0.8164274362095846	1.106244545660597	1418.7995742196886	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.9	0.7340772552537542	0.8252482081354201	1.1011494122676508	1375.0472135425605	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.905	0.7269202496286162	0.8342068909233235	1.0960560085430475	1331.2948528654324	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.91	0.7197632440034778	0.8431957955447411	1.0909640936004608	1287.5424921883045	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.915	0.7126062383783394	0.8521286133085091	1.0858740170008243	1243.7901315111765	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.92	0.7054492327532011	0.8610658486029248	1.0807861956753242	1200.0377708340482	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.925	0.6982922271280629	0.8699924916089262	1.0757008978380915	1156.28541015692	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.93	0.6911352215029246	0.8788952480898381	1.0706184649449026	1112.5330494797922	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.935	0.6455338651261461	0.8878523992839907	1.0655390416315504	1068.7806888026641	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.94	0.6420238175127705	0.8964062820709939	1.0604638384325908	1025.0283281255367	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.945	0.6385137698993948	0.9047709605024734	1.0553947226688962	981.2759674484087	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.95	0.6350037222860191	0.9133793946744192	1.0503317033340478	937.5236067712808	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.955	0.6314936746726435	0.9219880211380984	1.0452742563421211	893.7712460941527	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.96	0.6279836270592679	0.9308119015030778	1.040221957295432	850.0188854170245	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.965	0.6244735794458923	0.9394800227269642	1.0351748066835331	806.2665247398963	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.97	0.6209635318325168	0.9481613263704074	1.0301333513880937	762.5141640627687	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.975	0.617453484219141	0.9570110375613466	1.0250972635093238	718.7618033856404	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.98	0.6139434366057654	0.9657980124764975	1.020066417726832	675.0094427085123	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.9850000000000002	0.6104333889923897	0.9746054825862313	1.015041078972065	631.2570820313823	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.9900000000000002	0.606923341379014	0.9835477502367768	1.0100209973028471	587.5047213542541	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
0.995	0.5310552115967596	0.9924412389799476	1.0050061014595084	543.7523606771282	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
1.0	0.4946815669668446	0.9999999999999996	1.0	500.0	0.0626	0.44	0.21	0.228	0.002	0.023	0.0235
