Mw	Cnd
4	2.4019852890324462e-16
10.526315789473685	2.8763553824753691e-15
15.578947368421055	9.5045579335159849e-15
20.631578947368425	2.5046459759861966e-14
25.684210526315791	5.8531275800192995e-14
30.736842105263158	1.2812098613132749e-13
35.789473684210527	2.7321147358020753e-13
40.842105263157897	5.9167112770127591e-13
45.89473684210526	1.3963801393448771e-12
50.94736842105263	4.2216823376165848e-12
56	0
61.05263157894737	0
66.10526315789474	0
71.15789473684211	0
76.21052631578948	0
81.26315789473685	0
86.315789473684205	0
91.368421052631575	0
96.421052631578945	0
100	0

