Mw	Cnd
2	3.1610580144447737e-13
2.1794871794871797	4.0359969297391742e-13
2.5384615384615383	6.3210395677834199e-13
2.8974358974358978	9.4932182965724746e-13
3.2564102564102564	1.3803522002014772e-12
3.615384615384615	1.9560843582933936e-12
3.9743589743589745	2.7144008370036346e-12
4.333333333333333	3.7016302464600313e-12
4.6923076923076925	4.9743072516696132e-12
5.0512820512820511	6.6013119430719461e-12
5.4102564102564106	8.6664805634906388e-12
5.7692307692307692	1.1271805608955247e-11
6.1282051282051277	1.4541377817613017e-11
6.4871794871794872	1.8626268966276767e-11
6.8461538461538467	2.3710617279959439e-11
7.2051282051282053	3.0019263570567794e-11
7.5641025641025639	3.7827405607618452e-11
7.9230769230769234	4.7472905152739438e-11
8.2820512820512828	5.9372124703283971e-11
8.6410256410256405	7.4040511044403587e-11
9	9.2119651076241211e-11
9.3589743589743595	1.1441328080759293e-10
9.7179487179487172	1.4193586411651363e-10
10.076923076923077	1.7597926199833682e-10
10.435897435897436	2.1820565089947938e-10
10.794871794871796	2.7077953611421303e-10
11.153846153846153	3.3656035367025449e-10
11.512820512820513	4.1938905233117704e-10
11.871794871794872	5.2452963814049581e-10
12.23076923076923	6.5936963264253928e-10
12.589743589743589	8.3458637095838828e-10
12.948717948717949	1.0661706231085962e-09
13.307692307692307	1.3791791180463836e-09
13.666666666666668	1.8151853937687262e-09
14.025641025641026	2.4485394358168181e-09
14.384615384615385	3.4257820089592705e-09
14.743589743589745	5.060579258985106e-09
15.102564102564102	7.8256460223518343e-09
15.461538461538462	6.492156270158038e-09
16	0
100	0

