Mw	Cnd
2	1.2083976053391264e-14
2.7307692307692335	2.3371136046422426e-14
4.1923076923076934	5.9264770817750182e-14
5.6538461538461569	1.1593237398983784e-13
7.1153846153846168	1.9743495621505014e-13
8.5769230769230766	3.0840626553078483e-13
10.03846153846154	4.5413856894554189e-13
11.5	6.4068433903838078e-13
12.961538461538463	8.7497739850684548e-13
14.423076923076923	1.1649780133305996e-12
15.884615384615385	1.5198476511669316e-12
17.346153846153847	1.9501607380444915e-12
18.807692307692307	2.4681628741561852e-12
20.26923076923077	3.088087974081687e-12
21.730769230769234	3.8265504256771228e-12
23.192307692307693	4.7030340970572896e-12
24.653846153846153	5.7405072230744921e-12
26.115384615384617	6.9662027185937623e-12
27.576923076923077	8.4126180148928092e-12
29.03846153846154	1.0118811750391801e-11
30.5	1.2132104162929921e-11
31.96153846153846	1.4510333076093114e-11
33.42307692307692	1.7324897697542952e-11
34.884615384615387	2.0664926295830402e-11
36.346153846153847	2.4643106502837141e-11
37.807692307692307	2.940391634755109e-11
39.269230769230766	3.5135672781012771e-11
40.730769230769226	4.2088573229829248e-11
42.192307692307693	5.0602177879664881e-11
43.653846153846153	6.1149650509149256e-11
45.115384615384613	7.441096625316463e-11
46.57692307692308	9.1400762022941495e-11
48.038461538461533	1.1370523447663119e-10
49.5	1.4395623044217854e-10
50.96153846153846	1.8685393657332351e-10
52.42307692307692	2.5165647743908467e-10
53.884615384615387	3.5788321053330158e-10
55.34615384615384	5.2876190994089812e-10
56.807692307692307	3.7764204072014591e-10
59	0
100	0

